panel,ladder,K,bar,bar_v,N_eff_SL,N_eff_CL,N_eff_PR,clone_free_SL,clone_free_CL,clone_free_PR,min_rho,med_rho,S_spread,largest_cluster
U56,N,6,B_TIGHT,0.004,5,5,1.2022148893233318,0.8333333333333334,0.8333333333333334,0.2003691482205553,0.7159029936727653,0.9178840091361642,0.18296058094777368,2
U56,N,6,B_MID,0.01,5,5,1.2022148893233318,0.8333333333333334,0.8333333333333334,0.2003691482205553,0.7159029936727653,0.9178840091361642,0.18296058094777368,2
U56,N,6,B_LOOSE,0.0171,4,4,1.2022148893233318,0.6666666666666666,0.6666666666666666,0.2003691482205553,0.7159029936727653,0.9178840091361642,0.18296058094777368,3
U56,H,4,B_TIGHT,0.004,4,4,1.0781038713509057,1.0,1.0,0.2695259678377264,0.9188796578762167,0.9545217531508827,0.05855618545930241,1
U56,H,4,B_MID,0.01,4,4,1.0781038713509057,1.0,1.0,0.2695259678377264,0.9188796578762167,0.9545217531508827,0.05855618545930241,1
U56,H,4,B_LOOSE,0.0171,2,2,1.0781038713509057,0.5,0.5,0.2695259678377264,0.9188796578762167,0.9545217531508827,0.05855618545930241,2
U56,GROSS,10,B_TIGHT,0.004,1,1,1.0000245582315705,0.1,0.1,0.10000245582315706,0.9999397163905976,0.9999931594764192,0.0016562340897172678,10
U56,GROSS,10,B_MID,0.01,1,1,1.0000245582315705,0.1,0.1,0.10000245582315706,0.9999397163905976,0.9999931594764192,0.0016562340897172678,10
U56,GROSS,10,B_LOOSE,0.0171,1,1,1.0000245582315705,0.1,0.1,0.10000245582315706,0.9999397163905976,0.9999931594764192,0.0016562340897172678,10
U56,CADENCE,2,B_TIGHT,0.004,2,2,1.0343097091490185,1.0,1.0,0.5171548545745093,0.9662591772799143,0.9662591772799143,0.08410302737646536,1
U56,CADENCE,2,B_MID,0.01,2,2,1.0343097091490185,1.0,1.0,0.5171548545745093,0.9662591772799143,0.9662591772799143,0.08410302737646536,1
U56,CADENCE,2,B_LOOSE,0.0171,2,2,1.0343097091490185,1.0,1.0,0.5171548545745093,0.9662591772799143,0.9662591772799143,0.08410302737646536,1
U56,UNION,19,B_TIGHT,0.004,8,8,1.1027039287714189,0.42105263157894735,0.42105263157894735,0.058037048882706256,0.7159029936727653,0.9652136538371763,0.18296058094777368,11
U56,UNION,19,B_MID,0.01,7,7,1.1027039287714189,0.3684210526315789,0.3684210526315789,0.058037048882706256,0.7159029936727653,0.9652136538371763,0.18296058094777368,11
U56,UNION,19,B_LOOSE,0.0171,3,5,1.1027039287714189,0.15789473684210525,0.2631578947368421,0.058037048882706256,0.7159029936727653,0.9652136538371763,0.18296058094777368,17
B136,N,6,B_TIGHT,0.004,4,5,1.1551421479037027,0.6666666666666666,0.8333333333333334,0.19252369131728378,0.7888554194683652,0.932780969816156,0.12725987928679772,3
B136,N,6,B_MID,0.01,3,3,1.1551421479037027,0.5,0.5,0.19252369131728378,0.7888554194683652,0.932780969816156,0.12725987928679772,3
B136,N,6,B_LOOSE,0.0171,3,3,1.1551421479037027,0.5,0.5,0.19252369131728378,0.7888554194683652,0.932780969816156,0.12725987928679772,3
B136,H,4,B_TIGHT,0.004,2,2,1.1546170450469901,0.5,0.5,0.28865426126174754,0.8728774357570128,0.9008023879369876,0.02334825120810269,3
B136,H,4,B_MID,0.01,2,2,1.1546170450469901,0.5,0.5,0.28865426126174754,0.8728774357570128,0.9008023879369876,0.02334825120810269,3
B136,H,4,B_LOOSE,0.0171,2,2,1.1546170450469901,0.5,0.5,0.28865426126174754,0.8728774357570128,0.9008023879369876,0.02334825120810269,3
B136,GROSS,10,B_TIGHT,0.004,1,1,1.0000291305410607,0.1,0.1,0.10000291305410607,0.9999284906261712,0.9999918675267858,0.003959420323454088,10
B136,GROSS,10,B_MID,0.01,1,1,1.0000291305410607,0.1,0.1,0.10000291305410607,0.9999284906261712,0.9999918675267858,0.003959420323454088,10
B136,GROSS,10,B_LOOSE,0.0171,1,1,1.0000291305410607,0.1,0.1,0.10000291305410607,0.9999284906261712,0.9999918675267858,0.003959420323454088,10
B136,CADENCE,2,B_TIGHT,0.004,2,2,1.086314390556015,1.0,1.0,0.5431571952780075,0.9171083045109958,0.9171083045109958,0.01059618797365447,1
B136,CADENCE,2,B_MID,0.01,2,2,1.086314390556015,1.0,1.0,0.5431571952780075,0.9171083045109958,0.9171083045109958,0.01059618797365447,1
B136,CADENCE,2,B_LOOSE,0.0171,1,1,1.086314390556015,0.5,0.5,0.5431571952780075,0.9171083045109958,0.9171083045109958,0.01059618797365447,2
B136,UNION,19,B_TIGHT,0.004,4,6,1.1244490228178197,0.21052631578947367,0.3157894736842105,0.05918152751672735,0.7722706568962198,0.9414806737211343,0.12725987928679772,14
B136,UNION,19,B_MID,0.01,2,4,1.1244490228178197,0.10526315789473684,0.21052631578947367,0.05918152751672735,0.7722706568962198,0.9414806737211343,0.12725987928679772,18
B136,UNION,19,B_LOOSE,0.0171,2,3,1.1244490228178197,0.10526315789473684,0.15789473684210525,0.05918152751672735,0.7722706568962198,0.9414806737211343,0.12725987928679772,18
SMALL,N,6,B_TIGHT,0.004,3,4,1.1811713071382253,0.5,0.6666666666666666,0.19686188452303754,0.7597933104517868,0.9262664410034288,0.24681130606999652,3
SMALL,N,6,B_MID,0.01,2,3,1.1811713071382253,0.3333333333333333,0.5,0.19686188452303754,0.7597933104517868,0.9262664410034288,0.24681130606999652,5
SMALL,N,6,B_LOOSE,0.0171,2,2,1.1811713071382253,0.3333333333333333,0.3333333333333333,0.19686188452303754,0.7597933104517868,0.9262664410034288,0.24681130606999652,5
SMALL,H,4,B_TIGHT,0.004,4,4,1.2633988984545144,1.0,1.0,0.3158497246136286,0.7885229177935242,0.8484643410791384,0.2790304052182262,1
SMALL,H,4,B_MID,0.01,4,4,1.2633988984545144,1.0,1.0,0.3158497246136286,0.7885229177935242,0.8484643410791384,0.2790304052182262,1
SMALL,H,4,B_LOOSE,0.0171,4,4,1.2633988984545144,1.0,1.0,0.3158497246136286,0.7885229177935242,0.8484643410791384,0.2790304052182262,1
SMALL,GROSS,10,B_TIGHT,0.004,1,1,1.0000530476973453,0.1,0.1,0.10000530476973453,0.9998697718622037,0.9999850847894038,0.00211825637283658,10
SMALL,GROSS,10,B_MID,0.01,1,1,1.0000530476973453,0.1,0.1,0.10000530476973453,0.9998697718622037,0.9999850847894038,0.00211825637283658,10
SMALL,GROSS,10,B_LOOSE,0.0171,1,1,1.0000530476973453,0.1,0.1,0.10000530476973453,0.9998697718622037,0.9999850847894038,0.00211825637283658,10
SMALL,CADENCE,2,B_TIGHT,0.004,2,2,1.14759163143389,1.0,1.0,0.573795815716945,0.8618469838505274,0.8618469838505274,0.12433029713659743,1
SMALL,CADENCE,2,B_MID,0.01,2,2,1.14759163143389,1.0,1.0,0.573795815716945,0.8618469838505274,0.8618469838505274,0.12433029713659743,1
SMALL,CADENCE,2,B_LOOSE,0.0171,2,2,1.14759163143389,1.0,1.0,0.573795815716945,0.8618469838505274,0.8618469838505274,0.12433029713659743,1
SMALL,UNION,19,B_TIGHT,0.004,7,8,1.1751022306176309,0.3684210526315789,0.42105263157894735,0.061847485821980575,0.6716279418409637,0.9261555252989809,0.5112145333471696,12
SMALL,UNION,19,B_MID,0.01,5,6,1.1751022306176309,0.2631578947368421,0.3157894736842105,0.061847485821980575,0.6716279418409637,0.9261555252989809,0.5112145333471696,15
SMALL,UNION,19,B_LOOSE,0.0171,5,6,1.1751022306176309,0.2631578947368421,0.3157894736842105,0.061847485821980575,0.6716279418409637,0.9261555252989809,0.5112145333471696,15
