panel,N,H,seed,null_CAGR_cash,null_CAGR_rebuilt,null_CAGR_sym,null_IS_CAGR_rebuilt,lam_cash,lam_rebuilt,lam_sym
B136,1,21,0,0.16985075882170975,0.16985075882170975,0.18796984027629304,0.17105143423331604,1.0,1.0,1.117142250650996
B136,1,21,1,0.13650704763431531,0.13650704763431531,0.214278130570126,0.2010237152436667,1.0,1.0,1.7522614639686684
B136,1,21,2,0.10983450685227658,0.10983450685227658,0.11173702362053106,0.10285910935461207,1.0,1.0,1.0203751629925246
B136,1,21,3,0.11407297615233314,0.11407297615233314,0.11533634491993672,0.08089379668938279,1.0,1.0,1.0134460248520334
B136,1,21,4,0.1644353219665411,0.1644353219665411,0.25841822760074873,0.10348031546565828,1.0,1.0,1.6531358900548692
B136,1,21,5,0.16298434877555557,0.16298434877555557,0.1909130930562215,0.13609622146262224,1.0,1.0,1.1947808602659584
B136,1,21,6,0.0544254053776716,0.0544254053776716,0.05589547634391279,0.007825044284741622,1.0,1.0,1.0479732420009011
B136,1,21,7,0.11277853888413136,0.1128926381660047,0.11289263817027351,0.1241739687802279,0.9361491891513782,0.9372767580199319,0.9372767580629298
B136,1,21,8,0.1766285235968177,0.1766285235968177,0.24644393471130321,0.17117329605362697,1.0,1.0,1.453833171136051
B136,1,21,9,0.0337026779524805,0.0337026779524805,0.03536119290196815,0.008062868041470272,1.0,1.0,1.1759934297953765
B136,1,21,10,0.11095962093863188,0.11095962093863188,0.15805029442038143,0.11768605979572566,1.0,1.0,1.573722025807985
B136,1,21,11,0.11906409656154326,0.11906409656154326,0.15085247609370667,0.1359215279499768,1.0,1.0,1.3300701198909757
B136,1,21,12,0.0930000401394957,0.09291841500360798,0.09291841500763565,0.09416242805542008,0.9632609722310124,0.9629736090263497,0.9629736090786902
B136,1,21,13,0.09688948234576467,0.09688948234576467,0.10701797085550191,0.06634972993443977,1.0,1.0,1.1302360346620526
B136,1,21,14,0.1288513562826319,0.1288513562826319,0.1338255405501021,0.1472163442200931,1.0,1.0,1.0434718703478372
B136,1,21,15,0.14481902516888145,0.14474736981588743,0.14474736982652536,0.20061547855896733,0.8744792503463308,0.8749835117295879,0.8749835118015734
B136,1,21,16,0.14669771814282972,0.14669771814282972,0.2047082827075053,0.27097380786111214,1.0,1.0,1.4626666533124137
B136,1,21,17,0.18149327459205233,0.18149327459205233,0.2466913660463499,0.12055354390146067,1.0,1.0,1.4110115348961934
B136,1,21,18,0.06122720922901559,0.06122720922901559,0.06905226012820997,0.062238949602217764,1.0,1.0,1.2958112275055873
B136,1,21,19,0.09272110384234367,0.09272110384234367,0.1081363833163711,0.1502004140468156,1.0,1.0,1.2279348821160767
B136,1,21,20,0.0953855973176807,0.09518549430551548,0.09518549430355794,0.008929267083687575,0.9115612998270168,0.9111443179232448,0.9111443179011725
B136,1,21,21,0.12916250054076728,0.12916250054076728,0.15874630202752682,0.09459214602838029,1.0,1.0,1.2773172245870728
B136,1,21,22,0.05997843049758789,0.05928607510633954,0.059286075102426894,-0.0051807046174279225,0.7105451332118564,0.7102877979079756,0.7102877978514446
B136,1,21,23,0.052133931567782676,0.05202485114336364,0.052024851145120676,0.13378460144458693,0.8854007779826789,0.8852688065905852,0.8852688066376695
B136,1,21,24,0.027207063922034314,0.026446552370478216,0.026446552371115928,-0.04409087287427271,0.752517428123535,0.7453855362001836,0.7453855362404982
B136,1,21,25,0.04166856860033352,0.04171889545974006,0.041718895459575744,0.021319815324882807,0.9243059751373921,0.9238842000792764,0.9238842000715406
B136,1,21,26,0.12957624210739827,0.12955518065534943,0.1295551806502453,0.09179234104648182,0.9723761698478515,0.9724852393978654,0.9724852393545764
B136,1,21,27,0.13266739583571185,0.13266739583571185,0.18831371613223458,0.149476721376552,1.0,1.0,1.5857390563138092
B136,1,21,28,0.07942949854735692,0.07942949854735692,0.0813456770478127,0.07705655134000655,1.0,1.0,1.0355535581143192
B136,1,21,29,0.0716497246784975,0.0716497246784975,0.07216240208443936,0.1119693036505851,1.0,1.0,1.0108861177003683
B136,1,21,30,0.1038683277755732,0.1038683277755732,0.12757643127399154,0.14646204002640295,1.0,1.0,1.3098348087899125
B136,1,21,31,0.1393132169127549,0.1393132169127549,0.17601146266787437,0.21615054743279472,1.0,1.0,1.306702000016908
B136,1,21,32,0.11192920326750255,0.11192920326750255,0.12191876743326935,0.1590272545766458,1.0,1.0,1.1120404814598006
B136,1,21,33,0.11719242597364077,0.11719242597364077,0.17774189809421048,0.13991907919110314,1.0,1.0,1.693919543728602
B136,1,21,34,0.16960513338561456,0.16960513338561456,0.22230970476833023,0.19703364202599039,1.0,1.0,1.38086414572786
B136,1,21,35,0.058539300430084484,0.058539300430084484,0.06382569635575441,0.11122789262894028,1.0,1.0,1.1387968813010578
B136,1,21,36,0.20845150023989167,0.20845150023989167,0.2998495548175979,0.21378730172097438,1.0,1.0,1.4807531315552047
B136,1,21,37,0.06373478748854677,0.06291858453999666,0.0629185845383442,0.012042955167914648,0.7160525314581552,0.7111656805912874,0.7111656805693725
B136,1,21,38,0.0799346532918852,0.0799346532918852,0.10045691391040101,0.03542544652652735,1.0,1.0,1.3561836263138596
B136,1,21,39,0.03284513370713982,0.031497169641138356,0.03149716964164462,0.03311397414127204,0.6771017636012489,0.6696822320144942,0.6696822320303966
B136,1,42,0,0.12282082403190064,0.12239349729922666,0.1223934973055476,0.10858781178512822,0.8728071418602572,0.8707552512929455,0.8707552513430159
B136,1,42,1,0.12812635203825118,0.12812635203825118,0.1479536220843367,0.16963282860049134,1.0,1.0,1.1856786744068757
B136,1,42,2,0.06204283814877187,0.06219014859494565,0.06219014859716743,0.07171304566752879,0.7503317405470091,0.7532136052439251,0.7532136052770044
B136,1,42,3,0.20771331905077495,0.20771331905077495,0.26436524552202734,0.2070363382213687,1.0,1.0,1.2761010495804166
B136,1,42,4,0.10977865714563273,0.10977865714563273,0.11493206011230939,0.07197865447917806,1.0,1.0,1.0557129432287151
B136,1,42,5,0.08162974371133092,0.08140751521494716,0.08140751521439094,0.05014530610813739,0.8086479143098315,0.8103752076272648,0.8103752076207746
B136,1,42,6,0.09202725612433893,0.09202725612433893,0.107051215409117,0.1340515184488298,1.0,1.0,1.2167866175661537
B136,1,42,7,0.04486569927453288,0.04486569927453288,0.04585452699490977,0.05164319866445477,1.0,1.0,1.0434785927593386
B136,1,42,8,0.05277921083300963,0.05190096875324013,0.05190096875787664,0.038247367458506654,0.7568315860369679,0.7589534778780858,0.758953477963203
B136,1,42,9,0.1023803556804932,0.1023803556804932,0.12009968721779041,0.1357792058226226,1.0,1.0,1.22311446185862
B136,1,42,10,0.11739825702462925,0.11699618112183674,0.11699618110679166,0.20383413245324955,0.6905624309066944,0.6915326065178,0.6915326064236258
B136,1,42,11,0.07243520523042113,0.07363989923060932,0.0736398992393239,0.13178537303041438,0.6128340231432083,0.6280333694428641,0.6280333695269684
B136,1,42,12,0.08393014841348911,0.08382923963364397,0.08382923963602806,0.03435330335140696,0.6453755955164056,0.6473047233285703,0.6473047233485996
