panel,family,level,cad,con,turn_yr,turn_yr_ref,d_abs,d_rel
SMALL439,QUANTILE,0.2,W,RESPREAD,12.091534732795427,12.091534732795427,0.0,0.0
SMALL439,QUANTILE,0.2,W,DEGROSS,2.458844769121059,2.458844769121059,0.0,0.0
SMALL439,QUANTILE,0.2,M,RESPREAD,5.776560730418368,5.776560730418368,0.0,0.0
SMALL439,QUANTILE,0.2,M,DEGROSS,1.1771701978757771,1.1771701978757771,0.0,0.0
SMALL439,QUANTILE,0.2,Q,RESPREAD,3.301871796548998,3.301871796548998,0.0,0.0
SMALL439,QUANTILE,0.2,Q,DEGROSS,0.678944297692817,0.678944297692817,0.0,0.0
SMALL439,QUANTILE,0.3,W,RESPREAD,10.30303366147798,10.30303366147798,0.0,0.0
SMALL439,QUANTILE,0.3,W,DEGROSS,3.135495981182108,3.135495981182108,0.0,0.0
SMALL439,QUANTILE,0.3,M,RESPREAD,4.936606211404756,4.936606211404756,0.0,0.0
SMALL439,QUANTILE,0.3,M,DEGROSS,1.5048152501587873,1.5048152501587873,0.0,0.0
SMALL439,QUANTILE,0.3,Q,RESPREAD,2.8043792075753746,2.8043792075753746,0.0,0.0
SMALL439,QUANTILE,0.3,Q,DEGROSS,0.8623464812622977,0.8623464812622977,0.0,0.0
SMALL439,QUANTILE,0.4,W,RESPREAD,8.747178634141887,8.747178634141887,0.0,0.0
SMALL439,QUANTILE,0.4,W,DEGROSS,3.541508184395376,3.541508184395376,0.0,0.0
SMALL439,QUANTILE,0.4,M,RESPREAD,4.183384887787568,4.183384887787568,0.0,0.0
SMALL439,QUANTILE,0.4,M,DEGROSS,1.6964962372933188,1.6964962372933188,0.0,0.0
SMALL439,QUANTILE,0.4,Q,RESPREAD,2.372482577679128,2.372482577679128,0.0,0.0
SMALL439,QUANTILE,0.4,Q,DEGROSS,0.970514415495117,0.970514415495117,0.0,0.0
SMALL439,QUANTILE,0.5,W,RESPREAD,7.383854786802445,7.383854786802445,0.0,0.0
SMALL439,QUANTILE,0.5,W,DEGROSS,3.728802856623618,3.728802856623618,0.0,0.0
SMALL439,QUANTILE,0.5,M,RESPREAD,3.562414935069982,3.562414935069982,0.0,0.0
SMALL439,QUANTILE,0.5,M,DEGROSS,1.8012537190738287,1.8012537190738287,0.0,0.0
SMALL439,QUANTILE,0.5,Q,RESPREAD,2.022236440637283,2.022236440637283,0.0,0.0
SMALL439,QUANTILE,0.5,Q,DEGROSS,1.0303330753152118,1.0303330753152118,0.0,0.0
SMALL439,QUANTILE,0.6,W,RESPREAD,6.0204000213853455,6.0204000213853455,0.0,0.0
SMALL439,QUANTILE,0.6,W,DEGROSS,3.6479277024830736,3.6479277024830736,0.0,0.0
SMALL439,QUANTILE,0.6,M,RESPREAD,2.876926921923366,2.876926921923366,0.0,0.0
SMALL439,QUANTILE,0.6,M,DEGROSS,1.7450174652078674,1.7450174652078674,0.0,0.0
SMALL439,QUANTILE,0.6,Q,RESPREAD,1.6243240411927276,1.6243240411927276,0.0,0.0
SMALL439,QUANTILE,0.6,Q,DEGROSS,0.9920982485728412,0.9920982485728412,0.0,0.0
SMALL439,QUANTILE,0.7,W,RESPREAD,4.798931917209702,4.798931917209702,0.0,0.0
SMALL439,QUANTILE,0.7,W,DEGROSS,3.3878632619971385,3.3878632619971385,0.0,0.0
SMALL439,QUANTILE,0.7,M,RESPREAD,2.270750706794819,2.270750706794819,0.0,0.0
SMALL439,QUANTILE,0.7,M,DEGROSS,1.603937259005486,1.603937259005486,0.0,0.0
SMALL439,QUANTILE,0.7,Q,RESPREAD,1.2652344974947085,1.2652344974947085,0.0,0.0
SMALL439,QUANTILE,0.7,Q,DEGROSS,0.8986189391408124,0.8986189391408124,0.0,0.0
SMALL439,QUANTILE,0.8,W,RESPREAD,3.604611577077709,3.604611577077709,0.0,0.0
SMALL439,QUANTILE,0.8,W,DEGROSS,2.903306011423162,2.903306011423162,0.0,0.0
SMALL439,QUANTILE,0.8,M,RESPREAD,1.7161941690870304,1.7161941690870304,0.0,0.0
SMALL439,QUANTILE,0.8,M,DEGROSS,1.382459274143259,1.382459274143259,0.0,0.0
SMALL439,QUANTILE,0.8,Q,RESPREAD,0.9551270928027856,0.9551270928027856,0.0,0.0
