delta,n_CD,phi_max_CD,n_4B,phi_max_4B,arg_CD,arg_4B
0.1,16,0.1909510893959156,13,0.1909510893959156,B136k20d00,B136k20d00
0.2,284,0.4111731208610791,235,0.4111731208610791,U56,U56
0.3,631,0.5750335647943681,537,0.5750335647943681,B136k20d00,B136k20d00
0.4,959,0.7313532372708188,804,0.7313532372708188,U56,U56
0.5,1236,0.8919334886521509,1025,0.8919334886521509,U56,U56
0.6,1437,0.9568686394019682,1172,0.9568686394019682,B136k40d04,B136k40d04
0.7,1540,1.076158626592385,1237,1.076158626592385,BSTK100,BSTK100
0.8,1582,1.2000543448308365,1259,1.1587804049210073,BSTK100,B136k80d08
0.9,1588,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.0,1589,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.1,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.2,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.3,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.4,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.5,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.6,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.7,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.8,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
1.9,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
2.0,1590,1.2000543448308365,1260,1.1587804049210073,BSTK100,B136k80d08
