scope,panel_id,rung,e,k,slope
e=0.00 k=100,e0.00_k100_s0,0.0,0.0,100,1.6541294697473865
e=0.00 k=100,e0.00_k100_s0,10.0,0.0,100,1.65119350246019
e=0.00 k=100,e0.00_k100_s0,25.0,0.0,100,1.6462702245167087
e=0.00 k=20,e0.00_k20_s0,0.0,0.0,20,1.8704602194754456
e=0.00 k=20,e0.00_k20_s0,10.0,0.0,20,1.8716553160585183
e=0.00 k=20,e0.00_k20_s0,25.0,0.0,20,1.8647024063137172
e=0.00 k=20,e0.00_k20_s1,0.0,0.0,20,1.6045675089429956
e=0.00 k=20,e0.00_k20_s1,10.0,0.0,20,1.599945776437837
e=0.00 k=20,e0.00_k20_s1,25.0,0.0,20,1.5916208226312654
e=0.00 k=20,e0.00_k20_s2,0.0,0.0,20,1.2583856894521175
e=0.00 k=20,e0.00_k20_s2,10.0,0.0,20,1.2470877653515253
e=0.00 k=20,e0.00_k20_s2,25.0,0.0,20,1.229189110157797
e=0.00 k=20,e0.00_k20_s3,0.0,0.0,20,1.6968997827602654
e=0.00 k=20,e0.00_k20_s3,10.0,0.0,20,1.6942449732983065
e=0.00 k=20,e0.00_k20_s3,25.0,0.0,20,1.688208864058254
e=0.00 k=20,e0.00_k20_s4,0.0,0.0,20,1.8933928748389097
e=0.00 k=20,e0.00_k20_s4,10.0,0.0,20,1.88811182516409
e=0.00 k=20,e0.00_k20_s4,25.0,0.0,20,1.878105194589032
e=0.00 k=20,e0.00_k20_s5,0.0,0.0,20,1.769912141124578
e=0.00 k=20,e0.00_k20_s5,10.0,0.0,20,1.7639312920294539
e=0.00 k=20,e0.00_k20_s5,25.0,0.0,20,1.7541267657576514
e=0.00 k=35,e0.00_k35_s0,0.0,0.0,35,1.602699790137683
e=0.00 k=35,e0.00_k35_s0,10.0,0.0,35,1.5978239347717687
e=0.00 k=35,e0.00_k35_s0,25.0,0.0,35,1.5890383578504843
e=0.00 k=35,e0.00_k35_s1,0.0,0.0,35,1.4959172813231385
e=0.00 k=35,e0.00_k35_s1,10.0,0.0,35,1.4937069193435428
e=0.00 k=35,e0.00_k35_s1,25.0,0.0,35,1.489858211033831
