cad,gate,dCAGR0_pp,dSharpe
W,MA,-2.808598009162755,-0.1737300156730599
W,VOL,-4.3235583285027746,-0.2347352941401744
W,MAVOL,-5.344917396811066,-0.3403667167597555
M,MA,-0.6648250687876001,-0.023830947008992798
M,VOL,-3.118760992709335,-0.15778065272279407
M,MAVOL,-3.574849249379519,-0.18956458525000636
Q,MA,-0.8599004018054801,-0.022841100760696675
Q,VOL,-4.335175970344407,-0.2203045585270939
Q,MAVOL,-4.7643065964694475,-0.2465534995107121
