panel,book,band,gross,turnover_yr,tickets_yr,mean_names,mean_gross,max_gross,max_name_w
U56,CAND,0.0,0.75,7.651238554885243,2112.4395505617977,38.57348314606742,1.0,1.0000000000000009,0.37889855859683386
U56,CAND,0.0,1.0,10.05288837709422,2104.1150561797754,38.39573033707865,1.0,1.0000000000000007,0.22277389017616123
U56,CAND,0.03,0.75,4.394572810632718,2061.869662921348,38.55662921348315,1.0,1.0000000000000004,0.37889855859683386
U56,CAND,0.03,1.0,5.679032812388822,2055.6404494382023,38.43685393258427,1.0,1.0000000000000007,0.22277389017616123
U56,CAND,0.05,0.75,3.637256472326813,2025.5703370786518,38.11191011235955,1.0,1.0000000000000007,0.27879487030479844
U56,CAND,0.05,1.0,4.600109127161446,1973.3015730337079,37.11191011235955,1.0,1.0000000000000009,0.20731307014485867
U56,CAND,0.1,0.75,2.3227128152436802,2019.0579775280899,38.28831460674157,1.0,1.0000000000000007,0.2792784931931101
U56,CAND,0.1,1.0,2.868529189416574,1966.789213483146,37.28831460674157,1.0,1.0000000000000007,0.2912677911314003
U56,CAP2,0.0,0.75,6.281654982584693,2112.4395505617977,38.57348314606742,1.0,1.0000000000000009,0.901484086314871
U56,CAP2,0.0,1.0,7.090992690592457,2112.3829213483145,38.56808988764045,1.0,1.0000000000000007,0.901484086314871
U56,CAP2,0.03,0.75,3.506382942083226,2061.869662921348,38.55662921348315,1.0,1.0000000000000007,0.901484086314871
U56,CAP2,0.03,1.0,3.9918738682526245,2061.4732584269664,38.545842696629215,1.0,1.0000000000000007,0.901484086314871
U56,CAP2,0.05,0.75,2.8443834270236428,2025.5703370786518,38.11191011235955,1.0,1.0000000000000007,0.901484086314871
U56,CAP2,0.05,1.0,3.1765374287957524,2023.9280898876405,38.07213483146067,1.0,1.0000000000000007,0.901484086314871
U56,CAP2,0.1,0.75,1.913457736288351,2019.0579775280899,38.28831460674157,1.0,1.0000000000000007,0.921097287862039
U56,CAP2,0.1,1.0,2.108795394732179,2018.321797752809,38.27258426966292,1.0,1.0000000000000007,0.921097287862039
U56,IDXG,0.0,0.75,4.972523209749463,2508.4476404494385,46.649887640449435,1.0,1.0000000000000007,1.0
U56,IDXG,0.0,1.0,6.515128952840567,2508.4476404494385,46.649887640449435,1.0,1.0000000000000007,1.0
U56,IDXG,0.03,0.75,2.3324420042442613,2428.543820224719,46.06966292134832,1.0,1.0000000000000007,1.0
