panel,book,dial,bps,points,pass4a,pass4b
B136,EWALL,G,0,7,0,0
B136,EWALL,G,5,7,0,0
B136,EWALL,G,10,7,0,0
B136,EWALL,G,15,7,0,0
B136,EWALL,G,20,7,0,0
B136,EWALL,G,25,7,0,0
B136,EWALL,G,30,7,0,0
B136,EWALL,GROSS,0,5,0,1
B136,EWALL,GROSS,5,5,0,1
B136,EWALL,GROSS,10,5,0,1
B136,EWALL,GROSS,15,5,0,0
B136,EWALL,GROSS,20,5,0,0
B136,EWALL,GROSS,25,5,0,0
B136,EWALL,GROSS,30,5,0,0
B136,EWALL,K,0,7,0,0
B136,EWALL,K,5,7,0,0
B136,EWALL,K,10,7,0,0
B136,EWALL,K,15,7,0,0
B136,EWALL,K,20,7,0,0
B136,EWALL,K,25,7,0,0
B136,EWALL,K,30,7,0,0
B136,EWALL,V,0,8,0,1
B136,EWALL,V,5,8,0,0
B136,EWALL,V,10,8,0,0
B136,EWALL,V,15,8,0,0
B136,EWALL,V,20,8,0,0
B136,EWALL,V,25,8,0,0
B136,EWALL,V,30,8,0,0
B136,TOPN,G,0,7,0,0
B136,TOPN,G,5,7,0,0
B136,TOPN,G,10,7,0,0
B136,TOPN,G,15,7,0,0
B136,TOPN,G,20,7,0,0
B136,TOPN,G,25,7,0,0
B136,TOPN,G,30,7,0,0
B136,TOPN,GROSS,0,5,0,1
B136,TOPN,GROSS,5,5,0,1
B136,TOPN,GROSS,10,5,0,0
B136,TOPN,GROSS,15,5,0,0
B136,TOPN,GROSS,20,5,0,0
B136,TOPN,GROSS,25,5,0,0
B136,TOPN,GROSS,30,5,0,0
B136,TOPN,K,0,7,0,0
B136,TOPN,K,5,7,0,0
B136,TOPN,K,10,7,0,0
B136,TOPN,K,15,7,0,0
B136,TOPN,K,20,7,0,0
B136,TOPN,K,25,7,0,0
B136,TOPN,K,30,7,0,0
B136,TOPN,N,0,10,0,0
B136,TOPN,N,5,10,0,0
B136,TOPN,N,10,10,0,0
B136,TOPN,N,15,10,0,0
B136,TOPN,N,20,10,0,0
B136,TOPN,N,25,10,0,0
B136,TOPN,N,30,10,0,0
B136,TOPN,V,0,8,0,0
B136,TOPN,V,5,8,0,0
B136,TOPN,V,10,8,0,0
B136,TOPN,V,15,8,0,0
B136,TOPN,V,20,8,0,0
B136,TOPN,V,25,8,0,0
B136,TOPN,V,30,8,0,0
B136,V1C,G,0,7,0,0
B136,V1C,G,5,7,0,0
B136,V1C,G,10,7,0,0
B136,V1C,G,15,7,0,0
B136,V1C,G,20,7,0,0
B136,V1C,G,25,7,0,0
B136,V1C,G,30,7,0,0
B136,V1C,GROSS,0,5,0,0
B136,V1C,GROSS,5,5,0,0
B136,V1C,GROSS,10,5,0,0
B136,V1C,GROSS,15,5,0,0
B136,V1C,GROSS,20,5,0,0
B136,V1C,GROSS,25,5,0,0
B136,V1C,GROSS,30,5,0,0
B136,V1C,K,0,7,0,0
B136,V1C,K,5,7,0,0
B136,V1C,K,10,7,0,0
B136,V1C,K,15,7,0,0
