panel,vintage,vdate,path,calendar_indexed,n_rungs,n_flips,flip_rate
U56,fb208174,2026-09-03,pass_4b,True,44,5,0.11363636363636363
U56,fb208174,2026-09-03,pass_4b_oos,True,44,5,0.11363636363636363
U56,fb208174,2026-09-03,pass_4a,True,44,9,0.20454545454545456
U56,0ede2282,2026-09-03,pass_4b,True,44,5,0.11363636363636363
U56,0ede2282,2026-09-03,pass_4b_oos,True,44,5,0.11363636363636363
U56,0ede2282,2026-09-03,pass_4a,True,44,9,0.20454545454545456
U56,c006b439,2026-09-04,pass_4b,False,44,0,0.0
U56,c006b439,2026-09-04,pass_4b_oos,False,44,1,0.022727272727272728
U56,c006b439,2026-09-04,pass_4a,False,44,0,0.0
U56,50585c86,2026-09-04,pass_4b,False,44,0,0.0
U56,50585c86,2026-09-04,pass_4b_oos,False,44,1,0.022727272727272728
U56,50585c86,2026-09-04,pass_4a,False,44,0,0.0
U56,f138ee9a,2026-09-07,pass_4b,False,44,0,0.0
U56,f138ee9a,2026-09-07,pass_4b_oos,False,44,1,0.022727272727272728
U56,f138ee9a,2026-09-07,pass_4a,False,44,0,0.0
U56,9ee888f4,2026-09-08,pass_4b,False,44,0,0.0
U56,9ee888f4,2026-09-08,pass_4b_oos,False,44,0,0.0
U56,9ee888f4,2026-09-08,pass_4a,False,44,0,0.0
U56,7a93b075,2026-09-09,pass_4b,False,44,0,0.0
U56,7a93b075,2026-09-09,pass_4b_oos,False,44,0,0.0
U56,7a93b075,2026-09-09,pass_4a,False,44,0,0.0
U56,60e8c36a,2026-09-10,pass_4b,False,44,0,0.0
U56,60e8c36a,2026-09-10,pass_4b_oos,False,44,0,0.0
U56,60e8c36a,2026-09-10,pass_4a,False,44,0,0.0
U56,56e08b10,2026-09-11,pass_4b,False,44,0,0.0
U56,56e08b10,2026-09-11,pass_4b_oos,False,44,0,0.0
U56,56e08b10,2026-09-11,pass_4a,False,44,0,0.0
U56,b2528b96,2026-09-14,pass_4b,False,44,0,0.0
U56,b2528b96,2026-09-14,pass_4b_oos,False,44,1,0.022727272727272728
U56,b2528b96,2026-09-14,pass_4a,False,44,0,0.0
U56,868b5c36,2026-09-15,pass_4b,False,44,0,0.0
U56,868b5c36,2026-09-15,pass_4b_oos,False,44,0,0.0
U56,868b5c36,2026-09-15,pass_4a,False,44,0,0.0
B136,0ede2282,2026-09-03,pass_4b,False,44,1,0.022727272727272728
B136,0ede2282,2026-09-03,pass_4b_oos,False,44,1,0.022727272727272728
B136,0ede2282,2026-09-03,pass_4a,False,44,0,0.0
B136,d434ebc4,2026-09-04,pass_4b,False,44,1,0.022727272727272728
B136,d434ebc4,2026-09-04,pass_4b_oos,False,44,1,0.022727272727272728
B136,d434ebc4,2026-09-04,pass_4a,False,44,0,0.0
B136,50585c86,2026-09-04,pass_4b,False,44,1,0.022727272727272728
B136,50585c86,2026-09-04,pass_4b_oos,False,44,1,0.022727272727272728
B136,50585c86,2026-09-04,pass_4a,False,44,0,0.0
