panel,arm,5.0,10.0,20.0,30.0,40.0,60.0,SPAN,REL
B136,FIXEDTOT,0.7451397939019506,0.7447530637232809,0.739046801857727,0.7345777026719016,0.7281766538685175,0.7093171772475619,0.035822616654388684,0.0488377989710557
B136,MATCHED,0.7451480953352893,0.744760652889381,0.7390596855518514,0.734593575732546,0.7281979150867005,0.7093522839760723,0.035795811359216945,0.04880013459711268
B136,NORM,0.7503762717583413,0.7503274178328844,0.7502793314621956,0.7502481715407447,0.7502385256536559,0.7502178483322284,0.00015842342611294136,0.00021115204967451297
BSTK100,FIXEDTOT,0.7370006224305092,0.7354821474612528,0.7332677530577286,0.7261251978737362,0.715413238437795,0.6845056333875429,0.052494989042966345,0.07271118875126942
BSTK100,MATCHED,0.7370200658278474,0.7355000885522986,0.7332850073270624,0.7261483592682257,0.7154449646444582,0.6845634647097257,0.05245660111812167,0.07265521034522973
BSTK100,NORM,0.7480539529961957,0.7479797967913949,0.7479191467372451,0.7478940702541947,0.7478759442609336,0.7478694966314526,0.0001844563647430686,0.00024662181586867664
ETF24,FIXEDTOT,0.6938460592835752,0.6693850815618817,0.6082892362435229,0.42706942011747434,0.3203350807099341,0.2135795809997721,0.48026647828380314,0.9826409166886122
ETF24,MATCHED,0.6938752528323684,0.6694284886701432,0.6083585895770474,0.4271898138911037,0.32045954880504374,0.21368634730456543,0.48018890552780297,0.9823168624093757
ETF24,NORM,0.7356375424805349,0.7356332757881887,0.7356170336255772,0.7356137191696902,0.7356137191696902,0.7356137191696902,2.3823310844717227e-05,3.2385283456182404e-05
ETF36,FIXEDTOT,0.7382765290581088,0.718952136412496,0.6762005769031175,0.5958306146154425,0.45521102172769445,0.30351014799147413,0.4347663810666347,0.7478820172544305
ETF36,MATCHED,0.7382849153830484,0.718970708910838,0.6762356033014036,0.595879375311347,0.45528372009851226,0.30358554443573416,0.43469937094731426,0.7477112597756547
ETF36,NORM,0.7501685125981161,0.7501469869116008,0.750124173637641,0.7500919896467003,0.7500916156868704,0.7500916156868704,7.689691124568299e-05,0.00010251292923974677
SMALL,FIXEDTOT,0.7473516447826359,0.7465280296738691,0.7452229067755817,0.7435912481084695,0.7407881129771212,0.7306114878862514,0.016740156896384528,0.02255025471562875
SMALL,MATCHED,0.7473526866969744,0.7465309529247312,0.7452260538123909,0.7435943375290199,0.7407922106569172,0.7306186794129611,0.016734007284013308,0.022541861960039915
SMALL,NORM,0.7500592739538823,0.7501772126676086,0.7501423099251968,0.7501026175934445,0.7500956332388052,0.7500801073450154,0.0001179387137263399,0.00015722865751178106
STK20,FIXEDTOT,0.7188495393624674,0.6906508250694,0.4919541380692595,0.32809784810173664,0.2461227752506599,0.16411532371124152,0.5547342156512259,1.26085966196905
STK20,MATCHED,0.7189042053458495,0.690751524636256,0.4922503495528651,0.3284295191475964,0.24642350651744677,0.16435119881509372,0.5545530065307558,1.2598179008753365
STK20,NORM,0.7472626888638597,0.7472477504599448,0.7471979175082653,0.7471979175082653,0.7471979175082653,0.7471979175082653,6.477135559446179e-05,8.668345877376528e-05
U56,FIXEDTOT,0.7411050184279349,0.737140205115284,0.7168121231366669,0.6880600257451867,0.647740459931684,0.4674712184938155,0.27363379993411935,0.41062223211855264
U56,MATCHED,0.741120356809866,0.7371569874606183,0.7168497199621622,0.6881188893264264,0.6478222120163416,0.46762784573630856,0.27349251107355743,0.4103725469001204
U56,NORM,0.7503990969476793,0.7503119742244475,0.750284174969652,0.75024905719844,0.750222130876945,0.7502096327378043,0.0001894642098749788,0.0002525248912498538
