column,n_files,n_cells,in_944_selector
fail4b,419,817984,True
binding,15,87673,False
fail4b_oos,22,64079,True
f4b,155,53710,False
failing,19,31949,False
fail_4b,29,28439,False
fail4b_605,1,9720,True
bind,19,9015,False
fails,14,8595,False
fail4b_25,23,5025,True
lad_fail4b,6,4835,True
fail4b_0,20,4440,True
is_fail4b,2,2578,True
fail4b_602,1,1944,True
fail4b_x,1,1836,True
fail4b_10,23,1642,True
cal_fail4b,2,1566,True
mid_fail4b,2,1566,True
fail_legs,3,1311,False
fail4b_sleeve,2,1250,True
fail4b_cashf,2,1250,True
oos_fail4b,3,1017,True
fail4b_is,2,680,True
fail4b_set,1,417,True
first_fail4b,4,370,True
c_fail4b,1,366,True
s_fail4b,1,334,True
fail4b_hi,1,184,True
fail,5,178,False
fail4b_lo,1,175,True
full_fail4b,5,164,True
ctrl_fail4b,1,108,True
n_fail4b,3,78,True
w_fail4b,2,60,True
s1_fail4b,2,44,True
fail4b_full,2,40,True
binding_leg,2,28,False
top_fail4b,1,18,True
canon_fail4b,1,18,True
best_fail4b,1,16,True
fail4b_fixedbars,1,14,True
abs_fail4b,1,9,True
rel_fail4b,1,9,True
pick_fail4b,2,8,True
fail4b_at0,1,7,True
