k,draw,n,g_req,g_ceiling,g_maxmarg,g_midpoint,iv_lo,iv_hi,mid_fallback,IS_interval_empty,n_IS_passing,vol_IS_at_075
20,0,5,0.8955034947811186,0.8955034947811186,0.5,0.55,0.5,0.6,False,False,2,0.14368517622832078
20,0,20,1.802189309764188,1.0,1.0,0.95,0.9,1.0,False,False,2,0.07139681539756686
20,1,5,0.9493617338143985,0.9493617338143985,0.8,0.8,,,True,True,0,0.13553377272088094
20,1,20,1.801628338846394,1.0,1.0,1.0,,,True,True,0,0.07141904614083257
20,2,5,0.974029705175579,0.974029705175579,0.5,0.5,,,True,True,0,0.13210128682626568
20,2,20,1.785748114175856,1.0,1.0,1.0,,,True,True,0,0.07205415838844952
20,3,5,0.8986911059585913,0.8986911059585913,0.6,0.6,,,True,True,0,0.14317553229088134
20,3,20,1.6818773129958788,1.0,1.0,1.0,,,True,True,0,0.07650414002642382
20,4,5,1.02229246544565,1.0,0.7,0.7,,,True,True,0,0.12586474204777645
20,4,20,2.0866989037026475,1.0,1.0,1.0,,,True,True,0,0.061662263411548505
20,5,5,1.0552962256139304,1.0,0.8,0.8,,,True,True,0,0.12192839729512593
20,5,20,2.3482637238844126,1.0,1.0,1.0,,,True,True,0,0.05479392120739316
20,6,5,1.0257017615649673,1.0,0.9,0.9,,,True,True,0,0.12544638439967448
20,6,20,1.7560616798592192,1.0,1.0,1.0,,,True,True,0,0.07327224261907331
20,7,5,0.940309867049875,0.940309867049875,0.6,0.6,,,True,True,0,0.13683848481181293
20,7,20,1.7311465609933685,1.0,1.0,1.0,,,True,True,0,0.07432679610146252
20,8,5,0.9381756325134684,0.9381756325134684,0.9,0.9,,,True,True,0,0.13714977558730718
20,8,20,1.7412310136574458,1.0,1.0,1.0,,,True,True,0,0.07389632762767666
20,9,5,1.0216079417166994,1.0,0.4,0.4,,,True,True,0,0.1259490771425342
20,9,20,2.1492113984579064,1.0,1.0,1.0,,,True,True,0,0.05986873955397098
20,10,5,0.9979223415977361,0.9979223415977361,0.7,0.7,,,True,True,0,0.1289384675511849
20,10,20,1.6097807184878579,1.0,1.0,1.0,,,True,True,0,0.07993049983948648
20,11,5,1.0289645098962341,1.0,0.8,0.8,,,True,True,0,0.12504860587823183
20,11,20,1.7978076606956106,1.0,1.0,1.0,,,True,True,0,0.07157082499632732
