,median_daily_dollar_volume,adv_rank,decile
CPRI,100483692.0,1,10
JBLU,83354188.0,2,10
GTM,82343414.5,3,10
TRIP,69273548.16,4,10
TDOC,66643427.5,5,10
TLRY,54327020.5,6,10
ARRY,53133552.0,7,10
INSP,50823237.0,8,10
DXC,47531128.2445,9,10
HLF,46228374.68,10,10
NBR,45666711.589200005,11,10
HUN,40267295.78,12,10
CRI,37899742.08,13,10
OPTU,36010891.5,14,10
YELP,35213560.0,15,10
OLN,34945171.445,16,10
PLAY,34477704.0,17,10
WEN,33628493.63,18,10
PRKS,33033318.125,19,10
TNDM,32897660.0,20,10
VYX,30450940.176200002,21,10
GO,29813784.0,22,10
BL,29677901.0,23,10
BRBR,29289896.999999996,24,10
INMD,28871232.0,25,10
CLVT,28622088.0,26,10
CBRL,28505825.9,27,10
SONO,26905598.0,28,10
GRPN,26646600.0,29,10
PZZA,26384385.700000003,30,10
PD,26130195.0,31,10
CLB,25584244.310000002,32,10
UPWK,25513957.000000004,33,10
OI,25086647.5,34,10
JACK,24335388.66,35,10
SBH,23938506.0,36,10
EYE,23310720.0,37,10
EPC,23242306.902000003,38,10
RPD,22585200.0,39,10
NVAX,21801415.5,40,10
BLMN,21529451.76,41,10
PCRX,20477663.0,42,10
FVRR,20195452.0,43,10
FOSL,20088721.5,44,10
REAL,19909524.0,45,9
COUR,19844328.0,46,9
ZD,19550740.321000002,47,9
SMPL,19352090.0,48,9
CYH,18977170.5,49,9
AMN,18456254.5,50,9
AESI,17820995.84,51,9
DCH,17762584.5,52,9
LGIH,17472840.0,53,9
NUS,17372748.25,54,9
FLO,17144900.16,55,9
ACVA,17108707.0,56,9
VSTS,16635302.190000001,57,9
PRG,15889905.9864,58,9
EFOR,15334133.5,59,9
EVH,15019320.0,60,9
GENI,14898020.5,61,9
VRRM,14888880.0,62,9
OIS,14885705.085,63,9
SLVM,14204559.72,64,9
CERT,13947136.0,65,9
WWW,13906585.5,66,9
IRWD,13628655.0,67,9
OMDA,13577166.0,68,9
WGO,13297880.995000001,69,9
AZTA,13267627.105,70,9
LZ,13218815.5,71,9
HLX,13084562.04,72,9
PUMP,13026685.0,73,9
ULCC,12961647.0,74,9
MBC,12860736.0,75,9
SSYS,12826516.5,76,9
WKC,12535338.375,77,9
CMP,12475363.475,78,9
