output,cls,noise_mult,oos_seed_noise,oos_L_lo,oos_L_hi,oos_n_rungs,oos_covers_BAND_REC,oos_covers_BAND_NEAR
O_REACH,OBS,1.0,0.0,1,1008,21,True,True
O_REACH,OBS,1.5,0.0,1,1008,21,True,True
O_REACH,OBS,2.0,0.0,1,1008,21,True,True
O_REACH,OBS,3.0,0.0,1,1008,21,True,True
B_PPICK,BAR,1.0,0.03648611111111111,21,126,9,False,True
B_PPICK,BAR,1.5,0.03648611111111111,5,160,13,False,True
B_PPICK,BAR,2.0,0.03648611111111111,1,200,16,False,True
B_PPICK,BAR,3.0,0.03648611111111111,1,252,17,True,True
B_Q95,BAR,1.0,0.02397532692162286,2,100,12,False,False
B_Q95,BAR,1.5,0.02397532692162286,1,200,16,False,True
B_Q95,BAR,2.0,0.02397532692162286,1,252,17,True,True
B_Q95,BAR,3.0,0.02397532692162286,1,378,18,True,True
B_NULLMED,BAR,1.0,0.01550943592858541,1,200,16,False,True
B_NULLMED,BAR,1.5,0.01550943592858541,1,252,17,True,True
B_NULLMED,BAR,2.0,0.01550943592858541,1,252,17,True,True
B_NULLMED,BAR,3.0,0.01550943592858541,1,756,20,True,True
B_RECRANGE,BAR,1.0,0.032502106123606586,32,79,5,False,False
B_RECRANGE,BAR,1.5,0.032502106123606586,10,126,11,False,True
B_RECRANGE,BAR,2.0,0.032502106123606586,1,200,16,False,True
B_RECRANGE,BAR,3.0,0.032502106123606586,1,252,17,True,True
B_BOOT95,BAR,1.0,0.006974891522958519,10,160,12,False,True
B_BOOT95,BAR,1.5,0.006974891522958519,2,200,15,False,True
B_BOOT95,BAR,2.0,0.006974891522958519,1,252,17,True,True
B_BOOT95,BAR,3.0,0.006974891522958519,1,504,19,True,True
B_PCTRANK,BAR,1.0,0.045569444444444454,1,200,16,False,True
B_PCTRANK,BAR,1.5,0.045569444444444454,1,252,17,True,True
B_PCTRANK,BAR,2.0,0.045569444444444454,1,252,17,True,True
B_PCTRANK,BAR,3.0,0.045569444444444454,1,504,19,True,True
B_PMAX,BAR,1.0,0.034597222222222224,21,126,9,False,True
B_PMAX,BAR,1.5,0.034597222222222224,5,160,13,False,True
B_PMAX,BAR,2.0,0.034597222222222224,1,200,16,False,True
B_PMAX,BAR,3.0,0.034597222222222224,1,378,18,True,True
B_MODALRUNG,BAR,1.0,0.2361111111111111,5,100,11,False,False
B_MODALRUNG,BAR,1.5,0.2361111111111111,5,126,12,False,True
B_MODALRUNG,BAR,2.0,0.2361111111111111,1,200,16,False,True
B_MODALRUNG,BAR,3.0,0.2361111111111111,1,504,19,True,True
B_MODALMATCH,BAR,1.0,0.08333333333333333,16,126,10,False,True
B_MODALMATCH,BAR,1.5,0.08333333333333333,5,160,13,False,True
B_MODALMATCH,BAR,2.0,0.08333333333333333,1,200,16,False,True
B_MODALMATCH,BAR,3.0,0.08333333333333333,1,252,17,True,True
B_SD,BAR,1.0,0.00791243068950586,42,79,4,False,False
B_SD,BAR,1.5,0.00791243068950586,26,100,7,False,False
B_SD,BAR,2.0,0.00791243068950586,2,126,13,False,True
B_SD,BAR,3.0,0.00791243068950586,1,252,17,True,True
B_GAPEXCEEDS,BAR,1.0,0.0,1,378,18,True,True
B_GAPEXCEEDS,BAR,1.5,0.0,1,378,18,True,True
B_GAPEXCEEDS,BAR,2.0,0.0,1,378,18,True,True
B_GAPEXCEEDS,BAR,3.0,0.0,1,378,18,True,True
B_RESOLVED,BAR,1.0,0.0,26,79,6,False,False
B_RESOLVED,BAR,1.5,0.0,26,79,6,False,False
B_RESOLVED,BAR,2.0,0.0,26,79,6,False,False
B_RESOLVED,BAR,3.0,0.0,26,79,6,False,False
B_Q05,BAR,1.0,0.02431351208208529,21,126,9,False,True
B_Q05,BAR,1.5,0.02431351208208529,2,252,16,True,True
B_Q05,BAR,2.0,0.02431351208208529,1,378,18,True,True
B_Q05,BAR,3.0,0.02431351208208529,1,1008,21,True,True
O_PICK,OBS,1.0,0.0,1,1008,21,True,True
O_PICK,OBS,1.5,0.0,1,1008,21,True,True
O_PICK,OBS,2.0,0.0,1,1008,21,True,True
O_PICK,OBS,3.0,0.0,1,1008,21,True,True
O_MARGIN,OBS,1.0,0.0,1,1008,21,True,True
O_MARGIN,OBS,1.5,0.0,1,1008,21,True,True
O_MARGIN,OBS,2.0,0.0,1,1008,21,True,True
O_MARGIN,OBS,3.0,0.0,1,1008,21,True,True
O_LEVEL,OBS,1.0,0.0,1,1008,21,True,True
O_LEVEL,OBS,1.5,0.0,1,1008,21,True,True
O_LEVEL,OBS,2.0,0.0,1,1008,21,True,True
O_LEVEL,OBS,3.0,0.0,1,1008,21,True,True
O_GAPRATIO,OBS,1.0,0.0,1,1008,21,True,True
O_GAPRATIO,OBS,1.5,0.0,1,1008,21,True,True
O_GAPRATIO,OBS,2.0,0.0,1,1008,21,True,True
O_GAPRATIO,OBS,3.0,0.0,1,1008,21,True,True
