k,origin,stat,pairs,share_gt_gap
20,U56,gate,66,0.5757575757575758
20,U56,conc,66,0.09090909090909091
20,B136,gate,66,0.3333333333333333
20,B136,conc,66,0.18181818181818182
20,SMALL,gate,66,0.7121212121212122
20,SMALL,conc,66,0.5454545454545454
20,POOL,gate,66,0.6818181818181818
20,POOL,conc,66,0.3484848484848485
36,U56,gate,66,0.22727272727272727
36,U56,conc,66,0.030303030303030304
36,B136,gate,66,0.15151515151515152
36,B136,conc,66,0.030303030303030304
36,SMALL,gate,66,0.5757575757575758
36,SMALL,conc,66,0.5454545454545454
36,POOL,gate,66,0.5151515151515151
36,POOL,conc,66,0.42424242424242425
50,U56,gate,66,0.0
50,U56,conc,66,0.0
50,B136,gate,66,0.3333333333333333
50,B136,conc,66,0.0
50,SMALL,gate,66,0.5
50,SMALL,conc,66,0.6060606060606061
50,POOL,gate,66,0.5151515151515151
50,POOL,conc,66,0.2878787878787879
