panel,flag,cost,outcome,flagged,end,depth,verdict,pub_argmax,argmax,struct_bound,n_points,val_pub,val_new,spread,tol,VACUOUS
U56,n,10,Sharpe,1,hi,1,CLOSED,40,40,panel_names,5,,,0.5660783709526579,0.01,0
U56,n,10,Sharpe,1,hi,2,CLOSED,40,40,panel_names,5,,,0.5660783709526579,0.01,0
U56,n,10,Sharpe,1,hi,3,CLOSED,40,40,panel_names,5,,,0.5660783709526579,0.01,0
U56,n,10,BindSharpe,0,interior,0,NO_FLAG,30,30,,5,,,0.5419733720132115,0.01,0
U56,n,10,CAGR,0,interior,0,NO_FLAG,30,30,,5,,,0.062469903471318755,0.001,0
U56,n,10,MaxDD,1,lo,1,SURVIVES,5,5,1,6,-0.13827804260512744,-0.13827804260512744,0.056656310734715554,0.001,0
U56,n,10,MaxDD,1,lo,2,CLOSED,5,5,1,5,,,0.056656310734715554,0.001,0
U56,n,10,MaxDD,1,lo,3,CLOSED,5,5,1,5,,,0.056656310734715554,0.001,0
U56,n,10,OOS_Sharpe,0,interior,0,NO_FLAG,30,30,,5,,,0.6121385405304175,0.01,0
U56,n,25,Sharpe,1,hi,1,CLOSED,40,40,panel_names,5,,,0.8762785427230144,0.01,0
U56,n,25,Sharpe,1,hi,2,CLOSED,40,40,panel_names,5,,,0.8762785427230144,0.01,0
U56,n,25,Sharpe,1,hi,3,CLOSED,40,40,panel_names,5,,,0.8762785427230144,0.01,0
U56,n,25,BindSharpe,0,interior,0,NO_FLAG,30,30,,5,,,0.8520036207967803,0.01,0
U56,n,25,CAGR,1,hi,1,CLOSED,40,40,panel_names,5,,,0.09867023589180723,0.001,0
U56,n,25,CAGR,1,hi,2,CLOSED,40,40,panel_names,5,,,0.09867023589180723,0.001,0
U56,n,25,CAGR,1,hi,3,CLOSED,40,40,panel_names,5,,,0.09867023589180723,0.001,0
U56,n,25,MaxDD,0,interior,0,NO_FLAG,10,10,,5,,,0.11919304724033175,0.001,0
U56,n,25,OOS_Sharpe,1,hi,1,CLOSED,40,40,panel_names,5,,,0.8947990169634001,0.01,0
U56,n,25,OOS_Sharpe,1,hi,2,CLOSED,40,40,panel_names,5,,,0.8947990169634001,0.01,0
U56,n,25,OOS_Sharpe,1,hi,3,CLOSED,40,40,panel_names,5,,,0.8947990169634001,0.01,0
U56,band,10,Sharpe,0,interior,0,NO_FLAG,0.03,0.03,,10,,,0.21438901547775024,0.01,0
U56,band,10,BindSharpe,0,interior,0,NO_FLAG,0.03,0.03,,10,,,0.3119764394478335,0.01,0
U56,band,10,CAGR,0,interior,0,NO_FLAG,0.12,0.12,,10,,,0.0633900214402674,0.001,0
U56,band,10,MaxDD,1,hi,1,MIGRATE_EDGE,0.35,0.44999999999999996,,11,-0.08992332746774878,-0.07276575888646664,0.08438822166285442,0.001,0
U56,band,10,MaxDD,1,hi,2,MIGRATE_INTERIOR,0.35,0.44999999999999996,,12,-0.08992332746774878,-0.07276575888646664,0.08438822166285442,0.001,0
U56,band,10,MaxDD,1,hi,3,MIGRATE_EDGE,0.35,0.6499999999999999,,13,-0.08992332746774878,-0.06028099611481197,0.08438822166285442,0.001,0
U56,band,10,OOS_Sharpe,0,interior,0,NO_FLAG,0.03,0.03,,10,,,0.16584182939190129,0.01,0
U56,band,25,Sharpe,0,interior,0,NO_FLAG,0.03,0.03,,10,,,0.18826462285269874,0.01,0
U56,band,25,BindSharpe,0,interior,0,NO_FLAG,0.03,0.03,,10,,,0.2871032106259508,0.01,0
U56,band,25,CAGR,0,interior,0,NO_FLAG,0.12,0.12,,10,,,0.06216930953642841,0.001,0
U56,band,25,MaxDD,1,hi,1,MIGRATE_EDGE,0.35,0.44999999999999996,,11,-0.09002377073194667,-0.07352443353615978,0.08407306546737559,0.001,0
U56,band,25,MaxDD,1,hi,2,MIGRATE_INTERIOR,0.35,0.44999999999999996,,12,-0.09002377073194667,-0.07352443353615978,0.08407306546737559,0.001,0
U56,band,25,MaxDD,1,hi,3,MIGRATE_EDGE,0.35,0.6499999999999999,,13,-0.09002377073194667,-0.06076203564649196,0.08407306546737559,0.001,0
U56,band,25,OOS_Sharpe,0,interior,0,NO_FLAG,0.03,0.03,,10,,,0.1432474070421299,0.01,0
U56,gross,10,Sharpe,0,interior,0,NO_FLAG,0.5,0.5,,4,,,0.0002692742729526465,0.01,1
U56,gross,10,BindSharpe,1,lo,1,MIGRATE_EDGE,0.25,0.125,,5,1.1839240685608385,1.1841095256051122,0.002132521431492451,0.01,1
U56,gross,10,BindSharpe,1,lo,2,MIGRATE_EDGE,0.25,0.0625,,6,1.1839240685608385,1.1841887938177373,0.002132521431492451,0.01,1
