panel,key,sigma,klass,max_abs_d_rankpct,mean_abs_d_rankpct,frac_cells_moved,mean_xs_spearman,invariant
u56,COMP,0.1,RATIO,0.0032051282051281937,8.938627703975073e-09,2.533467100396234e-06,1.0,True
u56,VOL,0.1,RATIO,0.0,0.0,0.0,1.0,True
u56,MOM,0.1,RATIO,0.0,0.0,0.0,1.0,True
u56,R6,0.1,RATIO,0.0,0.0,0.0,1.0,True
u56,R3,0.1,RATIO,0.009615384615384637,2.5678927738367452e-08,2.533467100396234e-06,1.0,True
u56,REBASED,0.1,RATIO,0.0,0.0,0.0,1.0,True
u56,DDTR,0.1,RATIO,0.0,0.0,0.0,1.0,True
u56,PRICE,0.1,LEVEL,0.21428571428571425,0.02598578678802949,0.6603266652479252,0.9914430872188289,False
u56,FROZEN,0.1,LEVEL,0.12962962962962965,0.022386843381771063,0.5579847282603189,0.993068038986192,False
u56,PXTERM,0.1,LEVEL,0.10204081632653061,0.023466914787325877,0.6621646956292625,0.9934559021410259,False
u56,FWDRET,0.1,FWD,0.0,0.0,0.0,1.0,True
u56,COMP,0.25,RATIO,0.0032051282051281937,1.7877255407950146e-08,5.066934200792468e-06,1.0,True
u56,VOL,0.25,RATIO,0.0,0.0,0.0,1.0,True
u56,MOM,0.25,RATIO,0.0,0.0,0.0,1.0,True
u56,R6,0.25,RATIO,0.0,0.0,0.0,1.0,True
u56,R3,0.25,RATIO,0.009615384615384637,5.1357855476734904e-08,5.066934200792468e-06,1.0,True
u56,REBASED,0.25,RATIO,0.0,0.0,0.0,1.0,True
u56,DDTR,0.25,RATIO,0.0,0.0,0.0,1.0,True
u56,PRICE,0.25,LEVEL,0.35714285714285715,0.05874949063959612,0.8072044203933967,0.9629059965819687,False
u56,FROZEN,0.25,LEVEL,0.29090909090909095,0.0562568866887975,0.7384967926306509,0.9608953105975634,False
u56,PXTERM,0.25,LEVEL,0.2653061224489796,0.05362315375560924,0.837551556055493,0.9695423293388428,False
u56,FWDRET,0.25,FWD,0.0,0.0,0.0,1.0,True
