panel,gate,freq,pub_CAGR,got_CAGR,pub_Sharpe,got_Sharpe,pub_MaxDD,got_MaxDD,reproduces,published_verdict
u56,none,W,13.7,13.729224836932907,1.12,1.122754339101653,-18.5,-18.545607641420368,True,KEEP 4b / KILL 4a
u56,200d,W,12.7,12.673285670993506,1.09,1.0930792095925859,-18.3,-18.30834869787813,True,KEEP 4b / KILL 4a
u56,band3,W,13.1,13.063100559008877,1.12,1.11791729145647,-18.0,-17.99444505107637,True,KEEP 4b / KILL 4a
u56,200d,D,10.9,10.918107052364867,0.98,0.9767586810488609,-16.3,-16.338748144533245,True,KILL 4b (H1) / KILL 4a
u56,200d,M,14.7,14.725201621796735,1.2,1.2043283944779586,-19.5,-19.50684146967384,True,KEEP 4b / KILL 4a
u56,200d,Q,13.5,13.466629946153619,1.02,1.019745344687696,-27.1,-27.122388205912006,True,KILL 4b (DD) / KILL 4a
broad,none,W,12.8,12.829939448663797,0.93,0.9291397757021693,-20.7,-20.695397413814874,True,"KILL 4b (H2,OOS,DD) / KEEP 4a"
broad,200d,W,13.1,13.106012480167761,0.96,0.9581086298845515,-20.1,-20.052048331108274,True,KILL 4b (H2) / KEEP 4a
broad,band3,W,13.0,13.013159195074442,0.95,0.9519448318572163,-20.1,-20.052048331108317,True,KILL 4b (H2) / KEEP 4a
broad,200d,D,9.9,9.895996438923493,0.76,0.7629185569566508,-19.7,-19.681079471085074,True,"KILL 4b (H1,H2,OOS,CAGR) / KEEP 4a"
broad,200d,M,16.4,16.350199566695235,1.1,1.101449898305899,-26.1,-26.104593526574217,True,KILL 4b (DD) / KILL 4a
broad,200d,Q,13.8,13.785865258182618,0.92,0.9189056449528582,-27.1,-27.063847287815378,True,"KILL 4b (H2,OOS,DD) / KILL 4a"
