seed_base,panel,ladder,rung_set,chooser,k,pick,default,is_gap,gap_SE,IS_floor,gap_over_SE,gap_over_floor,floor_is_inf
11321132,U56,N,CORE,C_ISSHARPE,9,40,20,0.06429587508223422,0.09151163576893359,inf,0.7025978122015104,0.0,True
11321132,U56,N,CORE,C_ISCAGR,9,5,20,0.04853267792682936,0.035991328163370785,0.04116943564755715,1.3484547640623665,1.178852154843884,False
11321132,U56,N,CORE,C_ISDD,9,40,20,0.013708304391296444,0.014751378722261255,0.05736720675685281,0.9292897056875972,0.2389571528102842,False
11321132,U56,N,EXT,C_ISSHARPE,9,40,20,0.06429587508223422,0.09151163576893359,inf,0.7025978122015104,0.0,True
11321132,U56,N,EXT,C_ISCAGR,9,5,20,0.04853267792682936,0.035991328163370785,0.04116943564755715,1.3484547640623665,1.178852154843884,False
11321132,U56,N,EXT,C_ISDD,9,40,20,0.013708304391296444,0.014751378722261255,0.05736720675685281,0.9292897056875972,0.2389571528102842,False
11321132,U56,H,CORE,C_ISSHARPE,4,252,126,0.019602399891597955,0.08785892979372652,inf,0.22311220882863117,0.0,True
11321132,U56,H,CORE,C_ISCAGR,4,252,126,0.002657265328260827,0.011999538905781232,inf,0.22144728636036082,0.0,True
11321132,U56,H,CORE,C_ISDD,4,21,126,0.021263069739152485,0.01894184231881207,inf,1.122544965862961,0.0,True
11321132,U56,H,EXT,C_ISSHARPE,9,378,126,0.3066029279586766,0.12088004181037888,0.17914759512563094,2.5364230799955876,1.7114543331919414,False
11321132,U56,H,EXT,C_ISCAGR,9,378,126,0.020878339375348,0.013769364391372598,0.020347298838580663,1.5162892623009987,1.0260988223046308,False
11321132,U56,H,EXT,C_ISDD,9,378,126,0.023873216446242296,0.027382367514389636,0.04509320295760422,0.8718463235035008,0.5294193998303346,False
11321132,U56,GROSS,CORE,C_ISSHARPE,10,0.75,0.75,0.0,0.0,inf,,0.0,True
11321132,U56,GROSS,CORE,C_ISCAGR,10,0.75,0.75,0.0,0.0,0.009274828676011593,,0.0,False
11321132,U56,GROSS,CORE,C_ISDD,10,0.3,0.75,0.08268911515257682,0.02168886491976982,0.009028207558621548,3.812514645577606,9.158973651819988,False
11321132,U56,GROSS,EXT,C_ISSHARPE,10,0.75,0.75,0.0,0.0,inf,,0.0,True
11321132,U56,GROSS,EXT,C_ISCAGR,10,0.75,0.75,0.0,0.0,0.009274828676011593,,0.0,False
11321132,U56,GROSS,EXT,C_ISDD,10,0.3,0.75,0.08268911515257682,0.02168886491976982,0.009028207558621548,3.812514645577606,9.158973651819988,False
11321132,U56,CADENCE,CORE,C_ISSHARPE,4,W,W,0.0,0.0,inf,,0.0,True
11321132,U56,CADENCE,CORE,C_ISCAGR,4,W,W,0.0,0.0,inf,,0.0,True
11321132,U56,CADENCE,CORE,C_ISDD,4,D,W,0.008624412936449888,0.01034657732757909,inf,0.8335522621051964,0.0,True
11321132,U56,CADENCE,EXT,C_ISSHARPE,9,2W,W,0.04565955615397521,0.07628482665635071,0.18686423220026505,0.5985404720084535,0.2443461523714245,False
