panel,book,sleeve,cost,scope,selector,pick,abstain,n_admitted,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,ctl_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,premium,vs_spy,oos4b_DD,oos4b_CAGR,oos4b_Sharpe,best_OOS_f,best_OOS_Sharpe,rho_IS_OOS
broad,EWall,S3,10.0,pub,S0,0.5,False,6.0,1.458561958822983,1.3062269450631951,0.09054008032653038,-0.12615593317983764,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.2040238111501369,0.42420302146596356,True,False,True,0.5,1.3062269450631951,1.0
broad,EWall,S3,10.0,pub,S1,0.25,False,3.0,1.2877765269263903,1.1959065264189876,0.11622092129821815,-0.18504994223539828,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.0937033925059294,0.31388260282175606,True,True,True,0.5,1.3062269450631951,1.0
broad,EWall,S3,10.0,ext,S0,0.5,False,9.0,1.458561958822983,1.3062269450631951,0.09054008032653038,-0.12615593317983764,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.2040238111501369,0.42420302146596356,True,False,True,0.5,1.3062269450631951,1.0
broad,EWall,S3,10.0,ext,S1,0.4,False,6.0,1.3924646741953914,1.2616755764517076,0.10117486710336765,-0.14554047348357868,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15947244253864934,0.379651652854476,True,False,True,0.5,1.3062269450631951,1.0
broad,EWall,S3,10.0,all,S0,0.6,False,12.0,1.4907096860888664,1.339569635776451,0.07926623902592933,-0.10745980984952297,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.2373665018633928,0.45754571217921947,True,False,True,0.6,1.339569635776451,0.9790209790209792
broad,EWall,S3,10.0,all,S1,0.4,False,6.0,1.3924646741953914,1.2616755764517076,0.10117486710336765,-0.14554047348357868,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15947244253864934,0.379651652854476,True,False,True,0.6,1.339569635776451,0.9790209790209792
broad,EWall,S3,25.0,pub,S0,0.5,False,6.0,1.353192360410129,1.2255080534695382,0.08460705638393118,-0.12690527278505703,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.1341578838846036,0.3434841298723066,True,False,True,0.5,1.2255080534695382,1.0
broad,EWall,S3,25.0,pub,S1,0.25,False,3.0,1.2468286112631288,1.1616109568989252,0.1125887760679729,-0.18565478784491285,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.07026078731399066,0.27958703330169365,True,True,True,0.5,1.2255080534695382,1.0
broad,EWall,S3,25.0,ext,S0,0.5,False,9.0,1.353192360410129,1.2255080534695382,0.08460705638393118,-0.12690527278505703,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.1341578838846036,0.3434841298723066,True,False,True,0.5,1.2255080534695382,1.0
broad,EWall,S3,25.0,ext,S1,0.35,False,5.0,1.295034955973214,1.1896494048009194,0.10172930701672689,-0.15933539866250246,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.09829923521598483,0.3076254812036878,True,False,True,0.5,1.2255080534695382,1.0
