panel,q,floor_IS,base_IS,base_OOS,admit_IS,admit_OOS,bps,IS_pass,IS_min_z,IS_admit,OOS_pass,OOS_min_z,OOS_admit,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
U56,0.5,0.2482121908042692,0.043333333333333335,0.5177777777777778,0.021111111111111112,0.39111111111111113,,,,,,,,,,,,,,,,
U56,0.75,0.37846821441103806,0.043333333333333335,0.5177777777777778,0.011111111111111112,0.3522222222222222,,,,,,,,,,,,,,,,
U56,0.9,0.6116822053210825,0.043333333333333335,0.5177777777777778,0.0044444444444444444,0.21777777777777776,,,,,,,,,,,,,,,,
U56,0.95,0.7150230929370325,0.043333333333333335,0.5177777777777778,0.0022222222222222222,0.14888888888888888,,,,,,,,,,,,,,,,
U56,0.99,0.7660155535140483,0.043333333333333335,0.5177777777777778,0.0011111111111111111,0.12777777777777777,,,,,,,,,,,,,,,,
B136,0.5,0.19856613885526772,0.21444444444444444,0.21888888888888888,0.10666666666666667,0.10888888888888888,,,,,,,,,,,,,,,,
B136,0.75,0.35070950993817773,0.21444444444444444,0.21888888888888888,0.05333333333333334,0.051111111111111114,,,,,,,,,,,,,,,,
B136,0.9,0.5263762518936984,0.21444444444444444,0.21888888888888888,0.022222222222222223,0.021111111111111112,,,,,,,,,,,,,,,,
B136,0.95,0.5884598244978525,0.21444444444444444,0.21888888888888888,0.011111111111111112,0.016666666666666666,,,,,,,,,,,,,,,,
B136,0.99,0.842870255366268,0.21444444444444444,0.21888888888888888,0.0022222222222222222,0.0033333333333333335,,,,,,,,,,,,,,,,
SMALL,0.5,-3.045809085347838,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SMALL,0.75,-2.609427682353084,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SMALL,0.9,-2.2198442979635424,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SMALL,0.95,-1.977449863139807,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SMALL,0.99,-1.5591729730221804,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
U56,,0.6116822053210825,,,,,10.0,True,0.1708951477848425,False,True,0.19618432622377596,False,0.11211637318951828,1.2121677427250064,-0.1549462039552203,0.09481988847882739,1.2788365375971418,-0.12054946142590728,0.15315660628921846,0.8757783801289708,-0.33717235283398284
U56,,0.6116822053210825,,,,,25.0,True,0.06452660013942106,False,True,0.07158123640492738,False,0.10899993635890293,1.1812071178003458,-0.1604996516030487,0.09188615777182041,1.2419798947110108,-0.12092634875468711,0.15315660628921846,0.8757783801289708,-0.33717235283398284
B136,,0.5263762518936984,,,,,10.0,True,0.7836148310458756,True,False,-0.08175170518714618,False,0.10621138418151,1.157638309069894,-0.13243284136267353,0.07983337481604313,1.1185082795688428,-0.12240793860207999,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,,0.5263762518936984,,,,,25.0,True,0.6702855490529168,True,False,-0.21826526103748445,False,0.10296898248776776,1.1251899661330127,-0.1336105960185897,0.07643420182382155,1.0740236940215926,-0.12284879701089024,0.1545044425578177,0.8820239235972316,-0.3371595330739301
SMALL,,-2.2198442979635424,,,,,10.0,False,-1.3257725418757722,False,False,-2.8495810120707064,False,0.05205419877680595,0.4754969954799752,-0.28075990728384803,0.038484818306812274,0.5680478246931873,-0.1468466058133,0.15450723909089614,0.8820107009842559,-0.33717235283398284
SMALL,,-2.2198442979635424,,,,,25.0,False,-1.5173555763074893,False,False,-3.1249775814697456,False,0.046632353711278274,0.4333231893231421,-0.2902354395383986,0.034014705644267895,0.5072384570086396,-0.15247448897194638,0.15450723909089614,0.8820107009842559,-0.33717235283398284
