panel,theta,cad,family,con,CAGR,Sharpe,MaxDD,H1,H2,isCAGR,isSharpe,isMaxDD,oCAGR,oSharpe,oMaxDD,p4a,f4b,pass4b
U56,0.3,W,MA-THRESH,RESPREAD,0.27975835401777394,0.9890047010582746,-0.6142703301538261,1.1690430587015015,0.8353736012933881,0.32161473438401944,1.1562424152988853,-0.30748694009117716,0.24625752706408477,0.8700294060987751,-0.6142703301538267,False,OOS|DD,False
U56,0.3,W,MA-THRESH,DEGROSS,0.01083128635742625,0.7453685500043026,-0.021479357742629324,1.0000882283250638,0.5997283461694297,0.01209479274634262,1.0447815869064754,-0.013611511208591609,0.009791052454491744,0.5923240901225023,-0.021479357742629435,False,H2|OOS|CAGR,False
U56,0.3,W,QUANTILE-M,RESPREAD,0.33398934124055235,1.2644499247421581,-0.32205533760018135,1.435994423720889,1.1373755866476265,0.37819947472486626,1.5238464867577233,-0.2138781197787245,0.29861822447355046,1.0947137045538438,-0.3220553376001811,False,DD,False
U56,0.3,W,QUANTILE-M,DEGROSS,0.018049429994502875,1.2598487054304048,-0.020337531019225974,1.4273469280611621,1.122653651775107,0.02022225947988865,1.514847380218868,-0.01369637155502268,0.016261998227318886,1.0786541734257886,-0.020337531019226196,False,CAGR,False
U56,0.3,W,QUANTILE-F,RESPREAD,0.36790175301580197,1.2557954169772516,-0.3646961569006125,1.3803260496028698,1.1593464293799394,0.406952152611465,1.4598842623795008,-0.2704791292194345,0.3365314139005111,1.1182803239763845,-0.36469615690061263,False,DD,False
U56,0.3,W,QUANTILE-F,DEGROSS,0.014995679021972075,1.2450222098981338,-0.018030387814111037,1.380904422676463,1.1389963778017407,0.01610459018806254,1.464333727425464,-0.012591515664345243,0.01408259106752463,1.0968702056851654,-0.018030387814111037,False,CAGR,False
U56,0.3,M,MA-THRESH,RESPREAD,0.2633363372806836,0.933326843643597,-0.5851888417662401,1.1368526689194602,0.7683618299823143,0.31146414376481935,1.1377685728570002,-0.2779507451215325,0.22499864578147366,0.7959681599556213,-0.58518884176624,False,H2|OOS|DD,False
U56,0.3,M,MA-THRESH,DEGROSS,0.010972699091819527,0.734346880805038,-0.024345309506710322,0.9603890894810362,0.6111311644766582,0.011532327750590765,0.9805953700775741,-0.016510036211069723,0.01051166914667867,0.6151268893033965,-0.024345309506710544,False,H2|OOS|CAGR,False
U56,0.3,M,QUANTILE-M,RESPREAD,0.33560106794623445,1.2418300429623192,-0.351432290957283,1.3717040697153986,1.1576792540538683,0.3475615371067875,1.4272328797459315,-0.2661513303202556,0.32582274019551893,1.1326991427142605,-0.3514322909572831,False,DD,False
U56,0.3,M,QUANTILE-M,DEGROSS,0.018188052126552723,1.2264801276414248,-0.02310924571997286,1.3553489942928145,1.1303540106248287,0.019044037532321978,1.4159145746853183,-0.017568834557434188,0.01748306387210241,1.1015506392550045,-0.02310924571997275,False,CAGR,False
