panel,h,book,cost,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,keep4b,fail4b,draw,turnover_yr
U56,1,RMATCH,10.0,0.10490055688457689,1.062264274542085,-0.1631782455293106,1.1008006198690357,1.0330968124373756,1.0103010660440088,0.11314194583944825,1.1030968011496767,-0.1631782455293107,0.0,0.0,CAGR,0,9.691352361123544
U56,1,RMATCH,10.0,0.09629406769296223,0.9930790948573287,-0.16298307729355943,1.0979594710338476,0.8984795403830927,0.9957921176654874,0.0969304651431877,0.9907794502723927,-0.1629830772935592,0.0,0.0,CAGR,1,9.682295279044048
U56,1,RMATCH,10.0,0.09269636277013937,0.9399146976152452,-0.14725698116007213,0.9923745979676909,0.8931671975125103,0.8830852240254788,0.09889010384551766,0.9854454300578529,-0.14725698116007213,0.0,0.0,CAGR,2,9.685076734765083
U56,1,RMATCH,10.0,0.09911233016939547,0.9988523968473135,-0.161762364288924,0.9579180118702414,1.0379867540739736,0.827790855074263,0.11550971326021142,1.1365736195174065,-0.16176236428892365,0.0,0.0,H1+CAGR,3,9.688939534298392
U56,1,RMATCH,10.0,0.0995639099656851,0.9935538028135527,-0.17795718402671923,1.1258075835587655,0.878575642983306,1.0313042870801004,0.098067657097759,0.9638983204733848,-0.177957184026719,0.0,0.0,CAGR,4,9.674417251920572
U56,1,RMATCH,10.0,0.1014015531416359,1.0305398896089353,-0.1689895440313891,1.0967234504504355,0.9762681502545586,1.027117038790177,0.10457546985387167,1.0338709700323931,-0.16898954403138888,0.0,0.0,CAGR,5,9.672131556783842
U56,1,RMATCH,10.0,0.0992524954920313,1.007128014952542,-0.14522464179161998,0.9669024407855009,1.0456357013060587,0.8698094349582299,0.11255425479939096,1.1175504387516864,-0.1452246417916201,0.0,0.0,CAGR,6,9.701489567702394
U56,1,RMATCH,10.0,0.10452169286319535,1.0744569578922918,-0.1522845101511956,1.0107974481359978,1.1344029397351998,0.9228705647982427,0.1194868407220111,1.1950245957741956,-0.1522845101511956,0.0,0.0,CAGR,7,9.68577127042088
U56,1,RMATCH,10.0,0.09775052939297968,1.0048042035749964,-0.1659673787915137,1.0209177703703822,0.9909492118998717,0.927278014921432,0.10488394826347558,1.0680840507568297,-0.16596737879151358,0.0,0.0,CAGR,8,9.66397370308453
U56,1,RMATCH,10.0,0.08848898305149344,0.905493190385113,-0.21797705360614084,1.0253392727907773,0.8015254875376745,0.9241750425173715,0.08884337783577778,0.8911622918124412,-0.21797705360613906,0.0,0.0,H2+DD+CAGR,9,9.664332056632405
