panel,N,seeds,EDGE_pp,EDGE_IS_pp,book_CAGR,null_CAGR_med,null_CAGR_sd,EDGE_se_pp,lam_median,book_pct_of_null
U56,5,40,5.95038816304212,7.4536608297699924,0.17827666701103606,0.11877278538061486,0.019320741897459578,0.3828678000842714,1.0,1.0
U56,8,40,5.350912897081484,2.651620685800149,0.16835370055023535,0.11484457157942052,0.024164870478030055,0.47886105245581856,0.8991794943653716,0.975
U56,10,40,6.205435076551991,4.496375169259792,0.17124124583736267,0.10918689507184276,0.02098987074192648,0.4159439465454107,0.9056605849816639,1.0
U56,12,40,6.820183166175642,3.8208633609819187,0.17705025292752952,0.1088484212657731,0.016737990860817332,0.33168693897589907,0.9127516447929405,1.0
U56,15,40,5.215201883046006,2.886801204570888,0.16995945257623468,0.11780743374577463,0.012839378789778066,0.25443043221530454,0.9307666425533708,1.0
U56,20,40,5.1181233929647245,1.78456177856946,0.15578668168705812,0.10460544775741087,0.014348629186363288,0.2843383613302251,0.8008220603408234,1.0
U56,25,40,2.9526013388686767,0.48965707176095163,0.1489102187692648,0.11938420538057803,0.012552728169440327,0.24875004514818405,0.9191826432388859,0.975
U56,30,40,1.5456520589598344,-0.30410341298847676,0.14008113065953998,0.12462461006994163,0.009171185398128173,0.1817399971585989,0.9725049194479826,1.0
U56,40,40,0.41353549317942884,0.28538514020063355,0.13457634739318403,0.13044099246138974,0.004592661261552584,0.09101007213258701,1.0,0.925
B136,5,40,5.717068769790689,10.725835384222693,0.18905908768145907,0.13188839998355217,0.023513976126890386,0.4659626612019666,1.0,0.975
B136,8,40,5.244526724236387,8.172714121030689,0.1782211925038646,0.12577592526150072,0.02058318434188562,0.4078848808980243,0.9571136698081856,1.0
B136,10,40,8.323841215910088,6.865743052148354,0.18094572346347726,0.09770731130437638,0.01737524869937039,0.3443151034650354,0.7784601445098931,1.0
B136,12,40,6.519566190615922,4.881238092045381,0.17598257111489235,0.11078690920873313,0.013816973641846617,0.2738028555089674,0.7889084396481136,1.0
B136,15,40,6.8337512656864385,2.645722403996875,0.1677976415961746,0.09946012893931022,0.013302183779168924,0.2636015670038398,0.745131601775327,1.0
B136,20,40,4.932357200086979,3.5759227842501073,0.16040704123612182,0.11108346923525203,0.012235344930292593,0.24246064781546098,0.7860713234650961,1.0
B136,25,40,4.269149812565876,3.5414302795435892,0.16366123249678388,0.12096973437112513,0.010793748760192205,0.21389338279088033,0.8743470851130084,1.0
B136,30,40,2.810899508839926,3.0410134223961327,0.1601345108161336,0.13202551572773435,0.009745016115722371,0.1931112636261126,0.935847995967258,1.0
B136,40,40,1.8532321794052287,2.489090335127997,0.15311485642590061,0.13458253463184833,0.00891893166329819,0.1767412329791501,0.9861051587820286,0.975
