panel,estimator,resid_sd,margin_med,share_inside,kind,n_flip,n_4b_pass,n_books
U56,FULL,0.02584856961758612,0.07515124833441461,0.19642857142857142,margin,,,
U56,DOWN,0.02446060895592072,0.07515124833441461,0.19642857142857142,margin,,,
U56,ROLL,0.022207946075321842,0.07515124833441461,0.10714285714285714,margin,,,
U56,DDWIN,0.021866814459778137,0.06793559480152583,0.125,margin,,,
B136,FULL,0.02928929993004589,0.07042175599432576,0.21428571428571427,margin,,,
B136,DOWN,0.026424795885927346,0.07042175599432576,0.16071428571428573,margin,,,
B136,ROLL,0.03062722749686131,0.07042175599432576,0.21428571428571427,margin,,,
B136,DDWIN,0.024902131206043433,0.08811015247866605,0.13333333333333333,margin,,,
SMALL,FULL,0.051189897902971876,0.0737720109409756,0.25892857142857145,margin,,,
SMALL,DOWN,0.05507000936675518,0.0737720109409756,0.29464285714285715,margin,,,
SMALL,ROLL,0.053267782961346696,0.0737720109409756,0.29464285714285715,margin,,,
SMALL,DDWIN,0.07164882219545778,0.0737720109409756,0.4642857142857143,margin,,,
U56,FULL,,,,flip,9.0,9.0,112.0
U56,DOWN,,,,flip,9.0,9.0,112.0
U56,ROLL,,,,flip,7.0,9.0,112.0
U56,DDWIN,,,,flip,2.0,0.0,64.0
B136,FULL,,,,flip,6.0,10.0,112.0
B136,DOWN,,,,flip,5.0,10.0,112.0
B136,ROLL,,,,flip,8.0,10.0,112.0
B136,DDWIN,,,,flip,0.0,1.0,60.0
SMALL,FULL,,,,flip,0.0,0.0,112.0
SMALL,DOWN,,,,flip,0.0,0.0,112.0
SMALL,ROLL,,,,flip,0.0,0.0,112.0
SMALL,DDWIN,,,,flip,0.0,0.0,112.0
