book,panel,MaxDD,v2_MaxDD,dd_4a_ok,dd_cap_4b_ok,cagr_floor_4b_ok,oos_4b_ok
BAND03,U56,-0.12054945176473186,-0.12054945176473186,True,True,False,True
BAND03,B136,-0.1224079386020801,-0.1224079386020801,True,True,False,True
BAND03,SMALL,-0.12087781772280615,-0.12087781772280615,True,True,False,False
BAND08,U56,-0.14466921722484838,-0.12054945176473186,False,True,False,True
BAND08,B136,-0.14813995230211796,-0.1224079386020801,False,True,False,True
BAND08,SMALL,-0.1466943182746705,-0.12087781772280615,False,True,False,False
TOP20,U56,-0.21275843558136065,-0.12054945176473186,False,False,True,True
TOP20,B136,-0.23793201578321277,-0.1224079386020801,False,False,True,True
TOP20,SMALL,-0.32768327662502794,-0.12087781772280615,False,False,True,False
TOP10,U56,-0.2430035401211993,-0.12054945176473186,False,False,True,True
TOP10,B136,-0.2664364138228468,-0.1224079386020801,False,False,True,True
TOP10,SMALL,-0.4660500665472248,-0.12087781772280615,False,False,True,False
EWALL,U56,-0.15874704857478594,-0.12054945176473186,False,True,False,True
EWALL,B136,-0.17687931105226462,-0.1224079386020801,False,True,True,True
EWALL,SMALL,-0.3421164930376225,-0.12087781772280615,False,False,False,False
SPYBH,U56,-0.3371725677562024,-0.12054945176473186,False,False,True,False
SPYBH,B136,-0.3371595330739301,-0.1224079386020801,False,False,True,False
SPYBH,SMALL,-0.3371725677562025,-0.12087781772280615,False,False,True,False
