scheme,tol,tol_value,cls,rows,share
C2_TRANSFORM_vs_NOT,EXACT,0.0,RECOVERED,0,0.0
C2_TRANSFORM_vs_NOT,EXACT,0.0,TRANSFORM,144918,0.9925346556353076
C2_TRANSFORM_vs_NOT,EXACT,0.0,NOT_TRANSFORM,1090,0.007465344364692345
C3_T_V_X,EXACT,0.0,RECOVERED,0,0.0
C3_T_V_X,EXACT,0.0,TRANSFORM,144918,0.9925346556353076
C3_T_V_X,EXACT,0.0,VINTAGE,1076,0.007369459207714646
C3_T_V_X,EXACT,0.0,PHANTOM,14,9.588515697769985e-05
C4_T_Vname_Vgit_X,EXACT,0.0,RECOVERED,0,0.0
C4_T_Vname_Vgit_X,EXACT,0.0,TRANSFORM,144918,0.9925346556353076
C4_T_Vname_Vgit_X,EXACT,0.0,VINTAGE_namedate,0,0.0
C4_T_Vname_Vgit_X,EXACT,0.0,VINTAGE_gitonly,1076,0.007369459207714646
C4_T_Vname_Vgit_X,EXACT,0.0,PHANTOM,14,9.588515697769985e-05
C2_TRANSFORM_vs_NOT,1e-06,1e-06,RECOVERED,0,0.0
C2_TRANSFORM_vs_NOT,1e-06,1e-06,TRANSFORM,144918,0.9925346556353076
C2_TRANSFORM_vs_NOT,1e-06,1e-06,NOT_TRANSFORM,1090,0.007465344364692345
C3_T_V_X,1e-06,1e-06,RECOVERED,0,0.0
C3_T_V_X,1e-06,1e-06,TRANSFORM,144918,0.9925346556353076
C3_T_V_X,1e-06,1e-06,VINTAGE,1076,0.007369459207714646
C3_T_V_X,1e-06,1e-06,PHANTOM,14,9.588515697769985e-05
C4_T_Vname_Vgit_X,1e-06,1e-06,RECOVERED,0,0.0
C4_T_Vname_Vgit_X,1e-06,1e-06,TRANSFORM,144918,0.9925346556353076
C4_T_Vname_Vgit_X,1e-06,1e-06,VINTAGE_namedate,0,0.0
C4_T_Vname_Vgit_X,1e-06,1e-06,VINTAGE_gitonly,1076,0.007369459207714646
C4_T_Vname_Vgit_X,1e-06,1e-06,PHANTOM,14,9.588515697769985e-05
C2_TRANSFORM_vs_NOT,1e-04,0.0001,RECOVERED,23,0.00015752561503479262
C2_TRANSFORM_vs_NOT,1e-04,0.0001,TRANSFORM,144895,0.9923771300202728
