cadset,gross,bin,binlab,n,FAM_MAE,CSD_MAE,ratio,mean_derr
W/M/Q (idea 535),0.5,0,LOW |resid|,45,0.02208512827041248,0.020736634709196657,0.9389411035016535,-0.0013484935612158243
W/M/Q (idea 535),0.5,1,MID,64,0.1023612833762815,0.10539946452282754,1.0296809598935728,0.003038181146546037
W/M/Q (idea 535),0.5,2,HIGH |resid|,53,0.25802209181931773,0.22296879009732637,0.8641461222377123,-0.035053301721991344
W/M/Q (idea 535),0.75,0,LOW |resid|,43,0.051700234291664975,0.04552326199659311,0.8805233210312994,-0.00617697229507189
W/M/Q (idea 535),0.75,1,MID,66,0.14569139505732562,0.14921121597505635,1.024159429020127,0.0035198209177307762
W/M/Q (idea 535),0.75,2,HIGH |resid|,53,0.3912226790809955,0.33673506490016286,0.8607248068828035,-0.05448761418083269
W/M/Q (idea 535),1.0,0,LOW |resid|,43,0.07733977924502114,0.06671333519585847,0.8626005381332044,-0.010626444049162678
W/M/Q (idea 535),1.0,1,MID,67,0.2020679372699334,0.2016845048641409,0.9981024579605606,-0.0003834324057925027
W/M/Q (idea 535),1.0,2,HIGH |resid|,52,0.5343775777980652,0.46043645018511165,0.8616313058687223,-0.07394112761295348
D only,0.5,0,LOW |resid|,27,0.012707125591997893,0.009618436905085168,0.7569325442995718,-0.003088688686912724
D only,0.5,1,MID,8,0.12252741757744404,0.15726346759714277,1.2834961407535064,0.03473605001969875
D only,0.5,2,HIGH |resid|,19,0.15373320719556743,0.1687421445537284,1.0976297680374791,0.015008937358160954
D only,0.75,0,LOW |resid|,29,0.03156573966635226,0.019194226583240468,0.608071497329768,-0.012371513083111803
D only,0.75,1,MID,6,0.20992972633744333,0.27006587630629114,1.2864584783585356,0.060136149968847835
D only,0.75,2,HIGH |resid|,19,0.2355606576671809,0.25809194583776923,1.0956496233017925,0.02253128817058831
D only,1.0,0,LOW |resid|,29,0.05389052640712623,0.029165862837413563,0.541205751398205,-0.024724663569712688
D only,1.0,1,MID,5,0.2365924237356471,0.3284906975564407,1.3884244151599494,0.0918982738207936
D only,1.0,2,HIGH |resid|,20,0.32598640538964185,0.3549224418078141,1.088764549501952,0.028936036418172207
