panel,kind,q,k,seed,arm,keep4a,keep4b,fails4b,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
U56,NAMED,,55,-1,EWall,False,False,CAGR,0.10439244976841477,1.0529025422451463,-0.158442681335086,1.0774752404790053,1.0337654188549499,1.1152035930582378,0.11357162642465024,-0.15844268133508588
U56,NAMED,,55,-1,CAND10,False,False,H1,0.13108889881839247,0.9325607548083008,-0.17538171605178998,0.9087970055754686,0.9587191243784656,0.9925743052890468,0.14923180915086687,-0.17538171605178998
U56,NAMED,,55,-1,CAND20,False,True,-,0.13032505917837867,1.0817280748986222,-0.182966515035635,1.095479522561104,1.076945728259998,1.1450788011390631,0.14655554936306836,-0.182966515035635
B136,NAMED,,135,-1,EWall,False,True,-,0.10734644282026928,1.0278772028988117,-0.1768127133019105,1.1481702648507748,0.9153643662470855,1.0197977090316812,0.10595226164169458,-0.17681271330191017
B136,NAMED,,135,-1,CAND10,False,False,"H2,OOS,DD",0.1425213779576584,0.8945662564516421,-0.21444792932259593,1.1180659894707747,0.710413352662198,0.7805933395341813,0.12766905137397422,-0.21444792932259604
B136,NAMED,,135,-1,CAND20,False,False,H2,0.12992958836952506,0.9431848997615343,-0.20052048331108308,1.1047866702854356,0.8025166021122436,0.883602278072537,0.12454335283909401,-0.20052048331108296
BSTK100,NAMED,,100,-1,EWall,False,False,DD,0.12738334929822792,1.0228373951970056,-0.2609327726929145,1.141788746703878,0.9044700210156312,1.0095999331099443,0.12155660613742114,-0.2609327726929146
BSTK100,NAMED,,100,-1,CAND10,False,False,"H2,OOS,DD",0.14519258303456306,0.8791856605397992,-0.2913080218051687,1.104472264519851,0.6794046184339618,0.7488975844407562,0.12338297887674621,-0.29130802180516846
BSTK100,NAMED,,100,-1,CAND20,False,False,"H2,DD",0.13882130950972837,0.9458199036213336,-0.27294930694382635,1.1062122893653503,0.7963154894849032,0.8910729150865583,0.13046460605228716,-0.27294930694382613
ETF36,NAMED,,36,-1,EWall,False,False,"H1,H2,OOS,DD,CAGR",0.051074398875337934,0.6286991144056556,-0.21789114887889938,0.6623591718911113,0.6014723134136614,0.6655585909084499,0.055802348083681785,-0.21789114887889982
ETF36,NAMED,,36,-1,CAND10,False,False,"H1,H2,OOS,DD,CAGR",0.06174974737462935,0.6058900479637318,-0.22586913434103728,0.6179212334599695,0.5987268667951369,0.6706180757977825,0.07206727726491557,-0.22586913434103673
ETF36,NAMED,,36,-1,CAND20,False,False,"H1,H2,OOS,DD,CAGR",0.06073610609052049,0.673452683510965,-0.22153357165594512,0.6707121817582624,0.6785644006517576,0.7458485847307619,0.070118438241912,-0.221533571655945
SMALL439,NAMED,,439,-1,EWall,False,False,"H1,H2,OOS,DD,CAGR",0.03666279912702519,0.33611343420604756,-0.3998069131118529,0.43943114617044443,0.25876181215049104,0.29095981782086194,0.03139636424374004,-0.39980691311185323
SMALL439,NAMED,,439,-1,CAND10,False,False,"H1,H2,OOS,DD,CAGR",0.07750552511804099,0.4773220958327365,-0.3140232499932929,0.5334970511331097,0.4332277394888406,0.5507369020764514,0.09690985625461979,-0.31402324999329245
SMALL439,NAMED,,439,-1,CAND20,False,False,"H1,H2,OOS,DD,CAGR",0.06404932322062762,0.44991579434596285,-0.334794167175974,0.6056001345009001,0.32625490108889843,0.46573138739537995,0.06952666704630439,-0.33479416717597366
k20~q0.250~s00,k20q0.250,0.25,20,0,EWall,False,False,DD,0.13892680162375548,1.169343198180734,-0.21916474621847482,1.2040254331705253,1.1430344902189433,1.2377205974419885,0.15172330695931047,-0.21916474621847637
k20~q0.250~s00,k20q0.250,0.25,20,0,CAND10,False,False,DD,0.1453614315073175,1.146683128925851,-0.23721742586358163,1.252125961797166,1.0589843374208128,1.1751628448459521,0.1536453445808228,-0.23721742586358163
k20~q0.250~s00,k20q0.250,0.25,20,0,CAND20,False,False,DD,0.1388456237510678,1.167630361614497,-0.21916474621847482,1.2040254331705253,1.139994647208568,1.2349518075071038,0.15159052128151917,-0.21916474621847637
k20~q0.250~s01,k20q0.250,0.25,20,1,EWall,False,False,DD,0.14071260797972474,0.9531780631051912,-0.23031958029088906,0.9648561407075723,0.9439026758552165,1.0163385972923256,0.15280938667927035,-0.21487590167237713
k20~q0.250~s01,k20q0.250,0.25,20,1,CAND10,False,False,"H1,DD",0.1405468376402499,0.9116673418769734,-0.23925868223009905,0.8004856375692518,1.0141678868819235,1.011140446262405,0.16188649465846883,-0.22186911859935732
k20~q0.250~s01,k20q0.250,0.25,20,1,CAND20,False,False,DD,0.13730791477478266,0.9320610777070586,-0.23031958029088906,0.9232996278369914,0.9415186246970417,0.9902346250026981,0.14867553560701574,-0.2148759016723767
k20~q0.250~s02,k20q0.250,0.25,20,2,EWall,False,False,"H2,OOS",0.10926492755778594,0.8499646672813622,-0.1909987560990567,1.0731415097687307,0.6641358017937743,0.8164296776353144,0.10907463420995112,-0.19099875609905648
k20~q0.250~s02,k20q0.250,0.25,20,2,CAND10,False,False,"H2,OOS,DD",0.11532089418881286,0.8668837219012963,-0.21522406094723134,1.1414610394181557,0.6404420280749007,0.7999981808923232,0.1106109046357262,-0.215224060947234
k20~q0.250~s02,k20q0.250,0.25,20,2,CAND20,False,False,"H2,OOS",0.10928631068136752,0.8501614070472122,-0.1899182802808942,1.069356987048411,0.6676394885195157,0.8193735861951813,0.10950683035825515,-0.1899182802808933
k20~q0.250~s03,k20q0.250,0.25,20,3,EWall,False,False,"H1,H2,OOS,DD,CAGR",0.07504046925375163,0.6610525485199646,-0.2262626755826591,0.8063209880906884,0.5395466606415861,0.6420546823522447,0.07433162705337737,-0.21939519308006972
k20~q0.250~s03,k20q0.250,0.25,20,3,CAND10,False,False,"H1,H2,OOS,DD,CAGR",0.07884233933425122,0.6708500058027288,-0.23133423030256284,0.7835472505067239,0.5749215832622295,0.6901158402699813,0.08335171005118114,-0.21651224552059112
k20~q0.250~s03,k20q0.250,0.25,20,3,CAND20,False,False,"H1,H2,OOS,DD,CAGR",0.07529436010776136,0.6638724248242334,-0.2262626755826591,0.8063209880906884,0.544343888048216,0.6464170363857704,0.07474207969924263,-0.21651224552059145
k20~q0.250~s04,k20q0.250,0.25,20,4,EWall,False,False,"H2,OOS,DD",0.1289562178576098,0.9268221506536187,-0.332037421480472,1.2561771322928847,0.6864866706639414,0.8343339140619349,0.12063922067389798,-0.33203742148047366
k20~q0.250~s04,k20q0.250,0.25,20,4,CAND10,False,False,"H2,OOS,DD",0.14017381876335522,0.9449951342015277,-0.33908950789858816,1.2589945439063694,0.7055696224312246,0.824406695372904,0.12582531055310575,-0.3390895078985888
k20~q0.250~s04,k20q0.250,0.25,20,4,CAND20,False,False,"H2,OOS,DD",0.13019495916365753,0.9337278670168843,-0.33203742148047355,1.270882914681695,0.6864866706639414,0.8343339140619349,0.12063922067389798,-0.33203742148047366
