gate,value,bar,ok
G1_cost_identity,0.0,1e-12,True
G2a_weight_linearity,0.0,1e-15,True
G2b_return_nonlinearity_measured,0.002763132595926039,,True
G3_605_ladder,1.1102230246251565e-16,1e-12,True
G4_rules_v2,0.0001593728733619848,0.006,True
G5_metrics,0.0,1e-10,True
