instr,ticket,bar,floor,floor_IS,ratio,is121
DV,1000000.0,0.02,0.0,250000.0,50000000.0,False
DV,1000000.0,0.05,0.0,0.0,20000000.0,False
DV,1000000.0,0.075,0.0,0.0,13333333.333333334,False
DV,1000000.0,0.1,0.0,0.0,10000000.0,False
DV,1000000.0,0.15,0.0,0.0,6666666.666666667,False
DV,1000000.0,0.2,0.0,0.0,5000000.0,False
DV,1000000.0,0.25,0.0,0.0,4000000.0,False
DV,2000000.0,0.02,500000.0,500000.0,100000000.0,False
DV,2000000.0,0.05,0.0,250000.0,40000000.0,False
DV,2000000.0,0.075,0.0,0.0,26666666.666666668,False
DV,2000000.0,0.1,0.0,0.0,20000000.0,False
DV,2000000.0,0.15,0.0,0.0,13333333.333333334,False
DV,2000000.0,0.2,0.0,0.0,10000000.0,False
DV,2000000.0,0.25,0.0,0.0,8000000.0,False
DV,5000000.0,0.02,5000000.0,5000000.0,250000000.0,False
DV,5000000.0,0.05,500000.0,500000.0,100000000.0,False
DV,5000000.0,0.075,250000.0,250000.0,66666666.66666667,False
DV,5000000.0,0.1,0.0,250000.0,50000000.0,False
DV,5000000.0,0.15,0.0,0.0,33333333.333333336,False
DV,5000000.0,0.2,0.0,0.0,25000000.0,False
DV,5000000.0,0.25,0.0,0.0,20000000.0,False
DV,10000000.0,0.02,10000000.0,10000000.0,500000000.0,False
DV,10000000.0,0.05,5000000.0,2000000.0,200000000.0,False
DV,10000000.0,0.075,1000000.0,1000000.0,133333333.33333334,False
DV,10000000.0,0.1,500000.0,500000.0,100000000.0,True
DV,10000000.0,0.15,250000.0,250000.0,66666666.66666667,False
DV,10000000.0,0.2,0.0,250000.0,50000000.0,False
DV,10000000.0,0.25,0.0,250000.0,40000000.0,False
DV,20000000.0,0.02,20000000.0,20000000.0,1000000000.0,False
DV,20000000.0,0.05,5000000.0,5000000.0,400000000.0,False
DV,20000000.0,0.075,5000000.0,5000000.0,266666666.6666667,False
DV,20000000.0,0.1,5000000.0,2000000.0,200000000.0,False
DV,20000000.0,0.15,1000000.0,1000000.0,133333333.33333334,False
DV,20000000.0,0.2,500000.0,500000.0,100000000.0,False
DV,20000000.0,0.25,250000.0,250000.0,80000000.0,False
DV,50000000.0,0.02,,,2500000000.0,False
DV,50000000.0,0.05,20000000.0,20000000.0,1000000000.0,False
DV,50000000.0,0.075,10000000.0,10000000.0,666666666.6666667,False
DV,50000000.0,0.1,10000000.0,10000000.0,500000000.0,False
DV,50000000.0,0.15,5000000.0,5000000.0,333333333.3333334,False
DV,50000000.0,0.2,5000000.0,5000000.0,250000000.0,False
DV,50000000.0,0.25,5000000.0,2000000.0,200000000.0,False
DV,100000000.0,0.02,,,5000000000.0,False
DV,100000000.0,0.05,,,2000000000.0,False
DV,100000000.0,0.075,,,1333333333.3333335,False
DV,100000000.0,0.1,20000000.0,20000000.0,1000000000.0,False
DV,100000000.0,0.15,10000000.0,10000000.0,666666666.6666667,False
DV,100000000.0,0.2,10000000.0,10000000.0,500000000.0,False
DV,100000000.0,0.25,5000000.0,5000000.0,400000000.0,False
VOLSH,1000000.0,0.02,0.0,250000.0,50000000.0,False
VOLSH,1000000.0,0.05,0.0,0.0,20000000.0,False
VOLSH,1000000.0,0.075,0.0,0.0,13333333.333333334,False
VOLSH,1000000.0,0.1,0.0,0.0,10000000.0,False
VOLSH,1000000.0,0.15,0.0,0.0,6666666.666666667,False
VOLSH,1000000.0,0.2,0.0,0.0,5000000.0,False
VOLSH,1000000.0,0.25,0.0,0.0,4000000.0,False
VOLSH,2000000.0,0.02,500000.0,500000.0,100000000.0,False
VOLSH,2000000.0,0.05,0.0,250000.0,40000000.0,False
VOLSH,2000000.0,0.075,0.0,0.0,26666666.666666668,False
VOLSH,2000000.0,0.1,0.0,0.0,20000000.0,False
VOLSH,2000000.0,0.15,0.0,0.0,13333333.333333334,False
VOLSH,2000000.0,0.2,0.0,0.0,10000000.0,False
VOLSH,2000000.0,0.25,0.0,0.0,8000000.0,False
VOLSH,5000000.0,0.02,5000000.0,5000000.0,250000000.0,False
VOLSH,5000000.0,0.05,500000.0,500000.0,100000000.0,False
VOLSH,5000000.0,0.075,250000.0,250000.0,66666666.66666667,False
VOLSH,5000000.0,0.1,0.0,250000.0,50000000.0,False
VOLSH,5000000.0,0.15,0.0,0.0,33333333.333333336,False
VOLSH,5000000.0,0.2,0.0,0.0,25000000.0,False
VOLSH,5000000.0,0.25,0.0,0.0,20000000.0,False
VOLSH,10000000.0,0.02,10000000.0,10000000.0,500000000.0,False
VOLSH,10000000.0,0.05,2000000.0,2000000.0,200000000.0,False
VOLSH,10000000.0,0.075,1000000.0,1000000.0,133333333.33333334,False
VOLSH,10000000.0,0.1,500000.0,500000.0,100000000.0,True
VOLSH,10000000.0,0.15,250000.0,250000.0,66666666.66666667,False
VOLSH,10000000.0,0.2,0.0,250000.0,50000000.0,False
