panel,depth,draw,arm,n_names,CAGR,Sharpe,MaxDD,H1,H2,oos_CAGR,oos_Sharpe,oos_MaxDD,turn_py,L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR,bind,n_fail,keep4b_full,keep4b_oos,keep4b,keep4a,keep4b_t2,oos_Sharpe_t2,MaxDD_t2
U56,0.0,0,keepSPY,56,0.140717,1.250879,-0.159024,1.245952,1.256335,0.153961,1.356974,-0.159024,3.314053,0.288904,0.429936,0.481898,0.043279,0.034746,none,0,True,True,True,False,True,1.326321,-0.162373
U56,0.05,0,keepSPY,53,0.146705,1.289958,-0.164487,1.302481,1.278421,0.157645,1.383215,-0.164487,3.347932,0.345434,0.452021,0.508139,0.037816,0.040733,none,0,True,True,True,False,True,1.362589,-0.163348
U56,0.05,1,keepSPY,53,0.136915,1.23617,-0.158729,1.267155,1.208245,0.147333,1.31907,-0.158729,3.163717,0.310107,0.381846,0.443993,0.043575,0.030943,none,0,True,True,True,False,True,1.29096,-0.162899
U56,0.05,2,keepSPY,53,0.142078,1.258658,-0.166105,1.271152,1.247502,0.153881,1.354996,-0.166105,3.334667,0.314104,0.421102,0.47992,0.036198,0.036106,none,0,True,True,True,False,True,1.331714,-0.166293
U56,0.05,3,keepSPY,53,0.138516,1.240977,-0.15877,1.270898,1.212841,0.147465,1.319772,-0.15877,3.19382,0.31385,0.386441,0.444696,0.043534,0.032544,none,0,True,True,True,False,True,1.29694,-0.161555
U56,0.05,4,keepSPY,53,0.142044,1.247868,-0.159237,1.24585,1.250557,0.156074,1.358217,-0.159237,3.514751,0.288802,0.424157,0.483141,0.043067,0.036073,none,0,True,True,True,False,True,1.342152,-0.15861
U56,0.05,5,keepSPY,53,0.136266,1.233126,-0.164324,1.22246,1.244041,0.149442,1.340052,-0.164324,3.092102,0.265413,0.417641,0.464975,0.03798,0.030295,none,0,True,True,True,False,True,1.318315,-0.168017
U56,0.05,6,keepSPY,53,0.138379,1.238475,-0.163274,1.265892,1.213737,0.149112,1.324078,-0.163274,3.267152,0.308844,0.387337,0.449002,0.03903,0.032407,none,0,True,True,True,False,True,1.295013,-0.167004
U56,0.05,7,keepSPY,53,0.139047,1.235306,-0.160339,1.218046,1.252337,0.1534,1.350939,-0.160339,3.334492,0.260998,0.425938,0.475863,0.041964,0.033075,none,0,True,True,True,False,True,1.319843,-0.167943
U56,0.05,8,keepSPY,53,0.135788,1.20916,-0.156021,1.163198,1.253227,0.153967,1.350605,-0.156021,3.373857,0.20615,0.426827,0.475529,0.046283,0.029816,none,0,True,True,True,False,True,1.310061,-0.16289
U56,0.05,9,keepSPY,53,0.140369,1.238794,-0.157475,1.216831,1.260305,0.15572,1.359918,-0.157475,3.415725,0.259784,0.433905,0.484842,0.044829,0.034398,none,0,True,True,True,False,True,1.326178,-0.157147
U56,0.05,10,keepSPY,53,0.141667,1.254488,-0.150084,1.233894,1.274728,0.156433,1.371278,-0.150084,3.366852,0.276846,0.448328,0.496202,0.05222,0.035696,none,0,True,True,True,False,True,1.336057,-0.159507
U56,0.05,11,keepSPY,53,0.14283,1.260945,-0.158379,1.260592,1.262045,0.155962,1.365086,-0.158379,3.400858,0.303544,0.435645,0.49001,0.043925,0.036858,none,0,True,True,True,False,True,1.343737,-0.157486
U56,0.05,12,keepSPY,53,0.143021,1.261226,-0.160615,1.257187,1.26562,0.155375,1.363456,-0.160615,3.38024,0.300139,0.43922,0.48838,0.041688,0.03705,none,0,True,True,True,False,True,1.341148,-0.159284
U56,0.05,13,keepSPY,53,0.143997,1.268895,-0.156861,1.267403,1.271044,0.156728,1.370909,-0.156861,3.407753,0.310356,0.444645,0.495833,0.045442,0.038025,none,0,True,True,True,False,True,1.349902,-0.156696
U56,0.05,14,keepSPY,53,0.1432,1.263205,-0.158561,1.266531,1.26066,0.155046,1.360484,-0.158561,3.378564,0.309483,0.43426,0.485408,0.043743,0.037228,none,0,True,True,True,False,True,1.330838,-0.159459
U56,0.05,15,keepSPY,53,0.143157,1.270199,-0.158629,1.273407,1.267857,0.155265,1.368723,-0.158629,3.339586,0.31636,0.441457,0.493647,0.043674,0.037186,none,0,True,True,True,False,True,1.351165,-0.157166
U56,0.05,16,keepSPY,53,0.144138,1.266493,-0.157419,1.268714,1.265367,0.157158,1.366372,-0.157419,3.441039,0.311666,0.438967,0.491296,0.044884,0.038167,none,0,True,True,True,False,True,1.343027,-0.156525
U56,0.05,17,keepSPY,53,0.141688,1.251233,-0.160986,1.244128,1.258891,0.15532,1.356435,-0.160986,3.402432,0.28708,0.432491,0.481358,0.041318,0.035717,none,0,True,True,True,False,True,1.338495,-0.158588
U56,0.05,18,keepSPY,53,0.136252,1.220082,-0.164598,1.212562,1.227825,0.148643,1.324263,-0.164598,3.23334,0.255515,0.401425,0.449187,0.037706,0.030281,none,0,True,True,True,False,True,1.3049,-0.166676
U56,0.05,19,keepSPY,53,0.142906,1.26961,-0.157116,1.257675,1.281482,0.156244,1.381174,-0.157116,3.258408,0.300628,0.455083,0.506098,0.045188,0.036935,none,0,True,True,True,False,True,1.354412,-0.157207
