panel,MINN,phi,test,picked,n_is_pass,n_is_NULL,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4a,OOS_4b,star
U56,250,0.25,R0_CURRENT,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,True
U56,250,0.25,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,True
U56,250,0.25,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,True
U56,250,0.5,R0_CURRENT,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,250,0.5,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,250,0.5,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,250,0.75,R0_CURRENT,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,250,0.75,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,250,0.75,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,500,0.25,R0_CURRENT,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,False
U56,500,0.25,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,False
U56,500,0.25,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,500,0.5,R0_CURRENT,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,500,0.5,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,500,0.5,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,500,0.75,R0_CURRENT,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,500,0.75,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,500,0.75,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,750,0.25,R0_CURRENT,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,False
U56,750,0.25,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,False
U56,750,0.25,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,750,0.5,R0_CURRENT,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,750,0.5,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,750,0.5,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,750,0.75,R0_CURRENT,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,750,0.75,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,750,0.75,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,1000,0.25,R0_CURRENT,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,False
U56,1000,0.25,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,False
U56,1000,0.25,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,1000,0.5,R0_CURRENT,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,1000,0.5,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,1000,0.5,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,1000,0.75,R0_CURRENT,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,1000,0.75,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,1000,0.75,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,1500,0.25,R0_CURRENT,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,False
U56,1500,0.25,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.25 | s=0.40,3,0,0.05788144161761899,1.131754159432396,-0.07685274976523038,False,False,False
U56,1500,0.25,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,1500,0.5,R0_CURRENT,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,1500,0.5,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.50 | s=0.40,5,0,0.07018622227159788,1.2407970582012697,-0.08670577070115826,False,False,False
U56,1500,0.5,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,1500,0.75,R0_CURRENT,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,1500,0.75,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.75 | s=0.40,7,0,0.08242918310505454,1.2787747887968675,-0.10365721518944049,False,False,False
U56,1500,0.75,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
U56,-1,,-- RULES v2 baseline --,,-1,-1,0.09455179369762767,1.276620821629499,-0.12054956914840886,False,False,False
U56,-1,,-- SPY --,,-1,-1,0.1525745335844091,0.8736611364726746,-0.33717289200673783,False,False,False
B136,250,0.25,R0_CURRENT,BREADTH | OVER f=0.25 | s=0.30,3,0,0.06043218937539141,0.9894758045681127,-0.09282958255536167,False,False,False
B136,250,0.25,R1a_ACTIVE_GROSS,BREADTH | OVER f=0.25 | s=0.30,3,0,0.06043218937539141,0.9894758045681127,-0.09282958255536167,False,False,False
B136,250,0.25,R1b_ACTIVE_DIFF,(none passes IS),0,0,,,,False,False,False
