file,target,p,n,fit,const,lift,literal
2026-09-04_drawdown-control_C.ladder.csv,m,11,114,1.0,1.0,0.0,1
2026-09-04_drawdown-control_C.rates.csv,dCAGR,16,272,1.0,1.0,0.0,1
2026-09-04_drawdown-control_C.rates.csv,dMaxDD,16,238,0.9873949579831933,0.9873949579831933,0.0,1
2026-09-04_drawdown-control_C.rates.csv,dSharpe,16,272,0.9889705882352942,0.9889705882352942,0.0,1
2026-09-04_drawdown-control_C.rates.csv,vs_gm_CAGR,16,272,0.9522058823529411,0.9338235294117647,0.018382352941176405,0
2026-09-04_drawdown-control_C.rates.csv,vs_gm_MaxDD,16,265,0.8528301886792453,0.6867924528301886,0.16603773584905668,0
2026-09-04_drawdown-control_C.rates.csv,vs_gm_Sharpe,16,272,0.9889705882352942,0.9889705882352942,0.0,1
2026-09-04_drawdown-insurance-price-list_B.pricelist.csv,dCAGR,17,172,0.9186046511627907,0.9069767441860465,0.011627906976744207,0
2026-09-04_drawdown-insurance-price-list_B.pricelist.csv,dMaxDD,16,172,0.9476744186046512,0.8313953488372093,0.11627906976744184,0
2026-09-04_drawdown-insurance-price-list_B.pricelist.csv,dSharpe,17,172,0.7732558139534884,0.7906976744186046,-0.0174418604651162,0
2026-09-04_drawdown-insurance-price-list_B.pricelist.csv,vs_matchedDD,17,143,0.9370629370629371,0.6643356643356644,0.2727272727272727,0
2026-09-04_earnings-season-avoidance_cloud.effect.csv,dSharpe,7,360,0.9027777777777778,0.9027777777777778,0.0,1
2026-09-04_earnings-season-avoidance_cloud.effect.csv,dCAGR,7,360,0.9694444444444444,0.9694444444444444,0.0,1
2026-09-04_earnings-season-avoidance_cloud.effect.csv,dMaxDD,7,345,0.6434782608695652,0.5362318840579711,0.1072463768115941,0
2026-09-04_earnings-season-avoidance_cloud.effect.csv,dTurn,7,360,0.975,0.8555555555555555,0.11944444444444446,0
2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,dSharpe,36,40,0.825,0.775,0.04999999999999993,0
2026-09-04_gross-matched-turnover-constraints_B.effects.csv,dCAGR_pp,7,84,0.9285714285714286,0.7380952380952381,0.19047619047619047,0
2026-09-04_gross-matched-turnover-constraints_B.effects.csv,dSharpe,7,84,0.8214285714285714,0.4642857142857143,0.3571428571428571,0
2026-09-04_gross-matched-turnover-constraints_B.effects.csv,dMaxDD_pp,7,84,0.8928571428571429,0.8095238095238095,0.08333333333333337,0
2026-09-04_gross-matched-turnover-constraints_B.survival.csv,dCAGR_off,6,42,0.8571428571428571,0.8333333333333334,0.023809523809523725,0
2026-09-04_gross-matched-turnover-constraints_B.survival.csv,dCAGR_on,6,42,0.8333333333333334,0.6428571428571429,0.19047619047619047,0
2026-09-04_gross-matched-turnover-constraints_B.survival.csv,dMaxDD_off,6,42,0.8095238095238095,0.8095238095238095,0.0,0
2026-09-04_gross-matched-turnover-constraints_B.survival.csv,dMaxDD_on,6,42,0.7857142857142857,0.8095238095238095,-0.023809523809523836,0
2026-09-04_monthly-seasonality_cloud.grid.csv,dSharpe,20,144,0.9375,0.8333333333333334,0.10416666666666663,0
2026-09-05_2011-the-opposite-outlier_C.l2o.csv,regret,20,789,1.0,1.0,0.0,1
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.cells.csv,M,90,44,1.0,1.0,0.0,1
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.walkforward.csv,M,35,44,1.0,1.0,0.0,1
2026-09-05_V1u-small-negative-price_cloud.bootstrap.csv,dCAGR,8,1200,0.7933333333333333,0.7958333333333333,-0.0024999999999999467,0
2026-09-05_V1u-small-negative-price_cloud.bootstrap.csv,dMaxDD,8,1200,0.74,0.7291666666666666,0.010833333333333361,0
2026-09-05_V1u-small-negative-price_cloud.bootstrap.csv,dSharpe,8,1200,0.8341666666666666,0.8341666666666666,0.0,1
2026-09-05_V1u-small-negative-price_cloud.concentration.csv,dCAGR,13,40,0.775,0.575,0.20000000000000007,0
2026-09-05_V1u-small-negative-price_cloud.concentration.csv,dMaxDD,13,40,0.875,0.825,0.050000000000000044,0
2026-09-05_V1u-small-negative-price_cloud.concentration.csv,dSharpe,13,40,0.7,0.425,0.27499999999999997,0
2026-09-05_absorbing-state-audit_B.ddctl.csv,dSharpe,35,1400,0.9664285714285714,0.9664285714285714,0.0,1
2026-09-05_absorbing-state-audit_B.ladder.csv,m,7,228,1.0,1.0,0.0,1
2026-09-05_absorbing-state-audit_B.stop.csv,dSharpe,39,320,0.9,0.865625,0.034375000000000044,0
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.record.csv,a,1,50,1.0,1.0,0.0,1
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.record.csv,gain,1,73,0.6712328767123288,0.6712328767123288,0.0,1
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.walkforward.csv,margin_IS,9,609,1.0,1.0,0.0,1
2026-09-05_band-width-at-g085_cloud.matched_gross.csv,dCAGR_pp,9,144,0.9722222222222222,0.8333333333333334,0.13888888888888884,0
2026-09-05_band-width-at-g085_cloud.matched_gross.csv,dSharpe,9,144,0.9722222222222222,0.8055555555555556,0.16666666666666663,0
2026-09-05_band-width-at-g085_cloud.matched_gross.csv,dMaxDD_pp,9,144,0.9305555555555556,0.5833333333333334,0.3472222222222222,0
2026-09-05_cagr-floor-calibration_B.calibration.csv,delta,11,4000,1.0,1.0,0.0,1
2026-09-05_cagr-floor-calibration_B.ladder.csv,m,18,342,1.0,1.0,0.0,1
2026-09-05_cagr-floor-constrained-selector_cloud.picks.csv,regret,32,128,1.0,1.0,0.0,1
2026-09-05_clause-11b-draw-count-by-enumeration_cloud.grid.csv,flip_vs_truth,13,72,1.0,1.0,0.0,1
