panel,rung,family,prior,gross,depth,cadence,level,w,arm_Sharpe,twin_Sharpe,arm_MaxDD,twin_MaxDD,arm_p4b_oos,twin_p4b,twin_p4b_oos,beats_twin,clean,both_win
U56,0,BREADTH-LO,True,0.75,0.25,D,0.07,252,1.2118804758885522,1.1292296233293069,-0.14209883176664495,-0.1534890281031842,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.25,W,0.07,252,1.1872508205077548,1.1292316069149837,-0.13790841868460313,-0.15330972181017866,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.5,D,0.07,252,1.2844481055019115,1.129276574015034,-0.12658760783652634,-0.14927304132763308,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.5,W,0.07,252,1.232928076831859,1.1292805391969745,-0.11804950036084971,-0.14891336073956285,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,1.0,D,0.07,252,1.3648475054009945,1.1293698939246064,-0.10465121034684899,-0.1408119445371625,True,False,True,True,True,True
U56,0,BREADTH-LO,True,0.75,1.0,W,0.07,252,1.2594208056897167,1.129377809821855,-0.1108584572300273,-0.1400893271451592,True,False,True,True,True,True
U56,0,BREADTH-LO,True,0.75,0.25,D,0.07,504,1.1902010771765859,1.1292276391847909,-0.14973807682281615,-0.15366831723676566,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.25,W,0.07,504,1.157652764190107,1.1292273479640111,-0.15769536970935893,-0.1536940285482683,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.5,D,0.07,504,1.2398969853399593,1.1292726192005054,-0.1418963552520781,-0.1496324306711606,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.5,W,0.07,504,1.1742824133675804,1.1292720414053659,-0.15769536970935916,-0.14968376220919,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,1.0,D,0.07,504,1.2804992187458275,1.1293620347598023,-0.1265596260580193,-0.1415341692584977,True,False,True,True,True,True
U56,0,BREADTH-LO,True,0.75,0.25,D,0.07,1008,1.15355609991318,1.129207823850711,-0.15444427110640013,-0.15543563536839244,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.25,W,0.07,1008,1.1538066286394473,1.1292076354329692,-0.16031722193330988,-0.15545261604628635,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.5,D,0.07,1008,1.168337292719136,1.129233123373908,-0.15139555157630025,-0.1531728965672121,True,True,True,True,False,False
U56,0,BREADTH-LO,True,0.75,0.5,W,0.07,1008,1.1701968346429223,1.1292327440134098,-0.1629973409221699,-0.15320710435358398,True,True,True,True,False,False
