,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,share,n_days
FULL,0.7100949978821885,0.20056645286047217,-3.8825190222053774,-3.7275678936794288,-0.1549511285259486,0.9600900529682577,4439.0
COMMON,0.7163749903792723,0.19129870423071396,-3.8498663661443944,-3.495136315009839,-0.35473005113455525,0.9078591261623935,3934.0
IS,0.7035115936677854,0.1981790847561252,-3.5406276853214846,-3.3828023800974494,-0.15782530522403526,0.955424484229636,2007.0
OOS,0.71552793055419,0.20239482655764757,-4.170078611123729,-4.004340631183134,-0.16573797994059447,0.9602554303176716,2432.0
