panel,window,lowest_gross_cagr_floor,holds_at,lowest_gross_full4b,holds_at_4b
U56,FULL,0.50,"10,5",0.50,"10,5"
U56,IS,0.50,5,0.50,5
U56,OOS,0.50,"10,5",0.50,"10,5"
B136,FULL,0.50,"10,5",0.60,20
B136,IS,0.50,"10,5",0.50,10
B136,OOS,0.50,"10,5",0.75,40
