offset,MaxDD,peak,trough,sessions
0,-0.1952853875677134,2020-02-19,2020-03-12,16
1,-0.20648076587743192,2020-02-19,2020-04-21,43
2,-0.23706121311178818,2020-02-19,2020-04-21,43
3,-0.22126773497980923,2020-02-19,2020-03-16,18
4,-0.23025167413357406,2020-02-19,2020-04-21,43
