panel,cost,nom_full,nom_oos,nom_all,rea_full,rea_oos,rea_all,rea_feasible,rea_cells
U56,0,5,7,5,4,5,4,20,25
U56,10,5,6,5,1,5,1,20,25
U56,25,4,5,4,1,4,1,20,25
U56,50,1,4,1,0,1,0,20,25
B136,0,5,4,4,1,0,0,20,25
B136,10,4,1,1,0,0,0,20,25
B136,25,1,1,1,0,0,0,20,25
B136,50,1,0,0,0,0,0,20,25
SMALL,0,0,0,0,0,0,0,12,25
SMALL,10,0,0,0,0,0,0,12,25
SMALL,25,0,0,0,0,0,0,12,25
SMALL,50,0,0,0,0,0,0,12,25
