book,floor_musd,cost_bps,CAGR,Sharpe,MaxDD,OOS_Sharpe
EWall,0.0,0.0,0.10373800712651082,0.6888680761027064,-0.3599270325046683,0.6473182186991797
EWall,0.0,10.0,0.10181777831745098,0.6781352696586783,-0.361663735820842,0.6366624355474835
EWall,0.0,25.0,0.09894356898141066,0.6620350100338489,-0.3642600785827511,0.6206770724346841
EWgate,0.0,0.0,0.05061731543970316,0.4361514694631412,-0.3862153648727388,0.3948627694929284
EWgate,0.0,10.0,0.03666279912702519,0.3361134342060475,-0.3998069131118527,0.29095981782086194
EWgate,0.0,25.0,0.016069110282892485,0.1862287850609204,-0.4196414571011666,0.13528981693967165
R20,0.0,0.0,0.07852152468633777,0.6460580642654201,-0.3307539903640715,0.47581599281066767
R20,0.0,10.0,0.052123649487418655,0.4554565931906213,-0.35630074296406555,0.2866688102518212
R20,0.0,25.0,0.013708828586701971,0.1698105626223891,-0.3928481764468015,0.003434038927324354
R20u,0.0,0.0,0.1617372793242231,0.8322931621294394,-0.3069095645037585,0.8694622139784284
R20u,0.0,10.0,0.1429261652316589,0.7529572022227928,-0.307927657233222,0.793649268969376
R20u,0.0,25.0,0.11526708032868926,0.6337850205295058,-0.30945295449365295,0.6797640871902
EWall,1.0,0.0,0.06199904886315477,0.42759038158712304,-0.397004552213164,0.39093193139671645
EWall,1.0,10.0,0.05920368593779335,0.41275110225949024,-0.39946441775909347,0.37688661460751466
EWall,1.0,25.0,0.055024150601964195,0.39049135542288504,-0.40313566264656,0.35581685242320726
EWgate,1.0,0.0,0.024957921111787407,0.24171130596051382,-0.4109950168860713,0.1598328434521543
EWgate,1.0,10.0,0.01054316522562404,0.1451778213690589,-0.4248800667464574,0.05708105090491209
EWgate,1.0,25.0,-0.010709583516506305,0.0005546601822008619,-0.44510666887767913,-0.09682484117979395
R20,1.0,0.0,0.0631319325440407,0.49933867922701,-0.37189179426679475,0.3322255295178198
R20,1.0,10.0,0.03889651264356764,0.3382262941080765,-0.3946552683718091,0.16336786090525426
R20,1.0,25.0,0.003553663376297145,0.09680623386315097,-0.4272834811549272,-0.08940319690745216
R20u,1.0,0.0,0.06702035524553551,0.41259050965324945,-0.40273649298330094,0.38951594527713806
R20u,1.0,10.0,0.04987561760892634,0.33612944625476826,-0.4439029365642124,0.3137346943710034
R20u,1.0,25.0,0.02466267029925473,0.22135542671587086,-0.5032374658728791,0.19996699296584822
