panel,signal,brake,look,undefined,gap_dropped,S_min,S_max,S_mean,u_mean,armed_share
U56,COMPOSITE3,CORR,20,53,0,0.01436451431498951,0.7796239820388638,0.3376542543742353,0.2031430372804164,0.4360086767895879
U56,COMPOSITE3,VOL,20,5,0,0.0,0.5241238214183828,0.11408440371500575,0.3385433602366006,0.6182212581344902
U56,COMPOSITE3,CORR,60,53,0,-0.025960387641259353,0.7052260323169857,0.3352007279092932,0.18458437772090838,0.4316702819956616
U56,COMPOSITE3,VOL,60,13,0,0.0,0.345165929655365,0.12096877694175424,0.34794391546919406,0.6279826464208242
U56,COMPOSITE3,CORR,126,53,0,-0.032363297510929125,0.6024393767546459,0.33445477125252077,0.1873684322549009,0.420824295010846
U56,COMPOSITE3,VOL,126,27,0,0.0,0.255978245610982,0.1254729721433772,0.3559424068401,0.6399132321041214
U56,COMPOSITE3,CORR,252,53,0,-0.00944279263175869,0.6569335272188407,0.3457232494777536,0.16261722356346459,0.41431670281995664
U56,COMPOSITE3,VOL,252,53,0,0.0,0.21300289618895074,0.12972007759231954,0.3272619033343679,0.631236442516269
U56,M12_1,CORR,20,53,0,0.014262058768314925,0.8249750515887135,0.34815461644128953,0.24469927155431528,0.4891540130151844
U56,M12_1,VOL,20,5,0,0.0,0.5528011666288742,0.11564408569424224,0.3557031243135717,0.6236442516268981
U56,M12_1,CORR,60,53,0,-0.025960387641259353,0.7569157077861803,0.34687114270867825,0.229810667339853,0.5054229934924078
U56,M12_1,VOL,60,13,0,0.0,0.36030636827938717,0.1226288366694831,0.37142572688181436,0.6409978308026031
U56,M12_1,CORR,126,53,0,-0.032363297510929125,0.68224510441504,0.3476569331304476,0.21726530121299184,0.45878524945770066
U56,M12_1,VOL,126,27,0,0.0,0.26335171321982126,0.12709716675734112,0.3799774609946509,0.6594360086767896
U56,M12_1,CORR,252,53,0,-0.00944279263175869,0.5966471777745183,0.3515026100816351,0.21041492208414292,0.4240780911062907
U56,M12_1,VOL,252,53,0,0.0,0.21743989086925042,0.13145332451395653,0.35446943859187674,0.6540130151843818
B135,COMPOSITE3,CORR,20,53,0,0.036798591286214474,0.7643748879102107,0.33375559577372943,0.23847706077609673,0.46579804560260585
B135,COMPOSITE3,VOL,20,5,0,0.0,0.5167045394483742,0.12697799679206068,0.34879110369295374,0.6134636264929425
B135,COMPOSITE3,CORR,60,53,0,0.06807749850134452,0.6485278946150308,0.328649973326126,0.22965187939505696,0.4516829533116178
B135,COMPOSITE3,VOL,60,13,0,0.0,0.32238863923564376,0.13412418377969837,0.35649632218207683,0.6015200868621065
B135,COMPOSITE3,CORR,126,53,0,0.09942298291233312,0.5562221464588255,0.3295304653316987,0.19374782458420858,0.40390879478827363
