gate,value,passed
"G1 fast runner == engine.backtest (U56, N=20, H=126, cap INF)",1.3877787807814457e-17,True
G1b gross_rescaler(1.0) == nrun (the bisection kernel is the same book),1.3877787807814457e-17,True
G2 CROSS-RUN vs 936/1071/1082/1086's committed W/H126 N=20 triple,0.0016222226940012519,True
G3 CROSS-RUN SPY OOS triple,0.0028937770933026297,False
G6 live RULES v2 MaxDD == committed -12.05%,4.9488215128346e-05,True
G4c |MaxDD| of the REBUILT null is monotone in lambda,0.0,True
G7 null draw is deterministic in its seed recipe,0.0,True
"G5 CROSS-RUN 1082's committed H=126 EDGE ladder, both panels",0.05450578828075692,False
"G5c CROSS-RUN 1086's committed H=21 and H=63 EDGE ladders, both panels (the premise itself)",0.04073481887768082,False
G5b CROSS-RUN 1071/1082's committed U56 N=20 H=126 null median (CASH),0.0004740030652281013,True
G8 the finer H dial is LIVE (B136 turnover spread >= 1.0x/yr across the grid),6.472320833026139,True
