check,value,target,err
R0_rules_v1_u56,0.6641804017269177,0.66418,4.0172691773143754e-07
R1_engine_broad,2.0816681711721685e-17,0.0,2.0816681711721685e-17
R2_identity_broad,3.183231456205249e-12,0.0,3.183231456205249e-12
R1_engine_small,2.7755575615628914e-17,0.0,2.7755575615628914e-17
R2_identity_small,4.263256414560601e-13,0.0,4.263256414560601e-13
Q1_parent_grid,4.996003610813204e-16,0.0,4.996003610813204e-16
