panel,gate,step,from_dial,to_dial,max_abs_dW,sum_abs_dW,days_identical,max_abs_dr,identical,E_max,predicted_noop
U56,NONE,ABS n0=5 -> ABS n0=10,ABS n0=5,ABS n0=10,0.075,3306.3,0.0,0.03816458729308,False,56.0,False
U56,NONE,ABS n0=10 -> ABS n0=20,ABS n0=10,ABS n0=20,0.0375,3316.05,0.0,0.024136467357490497,False,56.0,False
U56,NONE,ABS n0=20 -> ABS n0=30,ABS n0=20,ABS n0=30,0.025,2215.7749999999996,0.0,0.011147100950324635,False,56.0,False
U56,NONE,ABS n0=30 -> ABS n0=40,ABS n0=30,ABS n0=40,0.01875,1663.6812500000005,0.0,0.009920135889642795,False,56.0,False
U56,NONE,ABS n0=40 -> ABS n0=60,ABS n0=40,ABS n0=60,0.015,1703.1167660490328,0.0,0.010442686997521999,False,56.0,False
U56,NONE,ABS n0=60 -> ABS n0=80,ABS n0=60,ABS n0=80,0.0,0.0,1.0,0.0,True,56.0,True
U56,NONE,ABS n0=80 -> ABS n0=100,ABS n0=80,ABS n0=100,0.0,0.0,1.0,0.0,True,56.0,True
U56,NONE,ABS n0=100 -> ABS n0=E_t,ABS n0=100,ABS n0=E_t,0.0,0.0,1.0,0.0,True,56.0,True
U56,MA,ABS n0=5 -> ABS n0=10,ABS n0=5,ABS n0=10,0.125,3276.9982142857143,0.0022527596305474207,0.03816458729308,False,55.0,False
U56,MA,ABS n0=10 -> ABS n0=20,ABS n0=10,ABS n0=20,0.06818181818181818,3140.875466445319,0.029961703086280694,0.024136467357490497,False,55.0,False
U56,MA,ABS n0=20 -> ABS n0=30,ABS n0=20,ABS n0=30,0.03571428571428571,1906.671781468157,0.10745663437711196,0.010628346577301667,False,55.0,False
U56,MA,ABS n0=30 -> ABS n0=40,ABS n0=30,ABS n0=40,0.024193548387096774,1227.9175623916835,0.19396260419013292,0.009920135889642795,False,55.0,False
U56,MA,ABS n0=40 -> ABS n0=60,ABS n0=40,ABS n0=60,0.018292682926829267,463.44486101938605,0.439288127956747,0.004854507530097998,False,55.0,False
U56,MA,ABS n0=60 -> ABS n0=80,ABS n0=60,ABS n0=80,0.0,0.0,1.0,0.0,True,55.0,True
U56,MA,ABS n0=80 -> ABS n0=100,ABS n0=80,ABS n0=100,0.0,0.0,1.0,0.0,True,55.0,True
U56,MA,ABS n0=100 -> ABS n0=E_t,ABS n0=100,ABS n0=E_t,0.0,0.0,1.0,0.0,True,55.0,True
U56,MA+VOL,ABS n0=5 -> ABS n0=10,ABS n0=5,ABS n0=10,0.125,3251.3714285714286,0.007208830817751746,0.03816458729308,False,55.0,False
U56,MA+VOL,ABS n0=10 -> ABS n0=20,ABS n0=10,ABS n0=20,0.06818181818181818,3104.4242326881063,0.03919801757152512,0.024136467357490497,False,55.0,False
U56,MA+VOL,ABS n0=20 -> ABS n0=30,ABS n0=20,ABS n0=30,0.03571428571428571,1881.9717970994936,0.12097319216039648,0.010510812181471176,False,55.0,False
U56,MA+VOL,ABS n0=30 -> ABS n0=40,ABS n0=30,ABS n0=40,0.024193548387096774,1195.1504603813019,0.20477585041676052,0.009920135889642795,False,55.0,False
U56,MA+VOL,ABS n0=40 -> ABS n0=60,ABS n0=40,ABS n0=60,0.018292682926829267,400.7096844478461,0.4782608695652174,0.004854507530097998,False,55.0,False
U56,MA+VOL,ABS n0=60 -> ABS n0=80,ABS n0=60,ABS n0=80,0.0,0.0,1.0,0.0,True,55.0,True
U56,MA+VOL,ABS n0=80 -> ABS n0=100,ABS n0=80,ABS n0=100,0.0,0.0,1.0,0.0,True,55.0,True
U56,MA+VOL,ABS n0=100 -> ABS n0=E_t,ABS n0=100,ABS n0=E_t,0.0,0.0,1.0,0.0,True,55.0,True
B136,NONE,ABS n0=5 -> ABS n0=10,ABS n0=5,ABS n0=10,0.075,3315.825,0.0,0.0398667398124309,False,135.0,False
B136,NONE,ABS n0=10 -> ABS n0=20,ABS n0=10,ABS n0=20,0.0375,3319.575,0.0,0.027090481414242862,False,135.0,False
B136,NONE,ABS n0=20 -> ABS n0=30,ABS n0=20,ABS n0=30,0.025,2214.7,0.0,0.01622857963044401,False,135.0,False
