n,k,y,lam,oofR2_M,oofR2_M_sd,gain,oofR2_sd_only
5,20,CAND Sharpe,0.5,-0.1968149120759224,0.16307892994785533,0.3598938420237777,0.31653347517894603
5,20,CAND Sharpe,2.0,-0.09077577724494468,0.21980737969799524,0.3105831569429399,0.31653347517894603
5,20,CAND Sharpe,8.0,0.048221008451013625,0.30659632964522976,0.25837532119421613,0.31653347517894603
5,20,CAND Sharpe,32.0,0.07107224560232905,0.34565113406336456,0.2745788884610355,0.31653347517894603
5,20,CAND Sharpe,128.0,0.006245972402314504,0.3338537888195533,0.3276078164172388,0.31653347517894603
5,20,CAND Sharpe,512.0,-0.03599846083330549,0.3221220267322995,0.358120487565605,0.31653347517894603
5,20,EWall Sharpe,0.5,0.21437466694159557,0.5574059870569852,0.3430313201153896,0.2893563005014157
5,20,EWall Sharpe,2.0,0.2511624111526125,0.5467226291795351,0.29556021802692256,0.2893563005014157
5,20,EWall Sharpe,8.0,0.2778249165593003,0.51245070912813,0.23462579256882965,0.2893563005014157
5,20,EWall Sharpe,32.0,0.20587313911164884,0.4348099351253297,0.2289367960136809,0.2893563005014157
5,20,EWall Sharpe,128.0,0.07434713555544326,0.3500744565234435,0.27572732096800023,0.2893563005014157
5,20,EWall Sharpe,512.0,-0.0016743383353725605,0.30759704261461784,0.3092713809499904,0.2893563005014157
5,20,premium,0.5,-0.27772885772726164,-0.3736523036521522,-0.09592344592489055,-0.09112535697761093
5,20,premium,2.0,-0.19705654978078901,-0.2792583473764576,-0.08220179759566859,-0.09112535697761093
5,20,premium,8.0,-0.08575241691527147,-0.14459166762860431,-0.05883925071333285,-0.09112535697761093
5,20,premium,32.0,-0.03127502299948737,-0.07390199350734283,-0.042626970507855466,-0.09112535697761093
5,20,premium,128.0,-0.033444079520319914,-0.07481366891557184,-0.04136958939525193,-0.09112535697761093
5,20,premium,512.0,-0.04227506562334149,-0.0853804630917454,-0.043105397468403917,-0.09112535697761093
5,40,CAND Sharpe,0.5,0.14859626332051612,0.17907804061207633,0.030481777291560208,0.02617388771455209
