panel,gate,n_names,E_mean,E_med,E_p95,E_max,ceiling_frac
U56,NONE,56,53.845010137418335,54.0,56.0,56.0,1.0
U56,MA,56,38.4539310655553,42.0,50.0,55.0,0.9821428571428571
U56,MA+VOL,56,37.49988736201847,41.0,50.0,55.0,0.9821428571428571
B136,NONE,136,130.83352106330256,132.0,135.0,135.0,0.9926470588235294
B136,MA,136,93.20590223023203,101.0,120.0,128.0,0.9411764705882353
B136,MA+VOL,136,91.45956296463167,99.0,119.0,128.0,0.9411764705882353
SMALL439,NONE,439,338.0521098118963,322.0,435.0,439.0,1.0
SMALL439,MA,439,172.37061514997458,176.0,266.3499999999999,345.0,0.785876993166287
SMALL439,MA+VOL,439,141.22572445348246,147.0,211.3499999999999,281.0,0.6400911161731208
