egrid,bar,cost,set,n_books,n_verdict_const,frac_const,n_legset_const,frac_legset_const,n_pass_at_REC,n_pass_ever,n_pass_always
END_Q,REC_FULL,0.0,SHELF,9,9,1.0,9,1.0,9,9,9
END_Q,REC_FULL,0.0,GRID,36,34,0.9444444444444444,34,0.9444444444444444,21,21,19
END_Q,REC_FULL,0.0,ALL,45,43,0.9555555555555556,43,0.9555555555555556,30,30,28
END_Q,REC_FULL,10.0,SHELF,9,9,1.0,9,1.0,9,9,9
END_Q,REC_FULL,10.0,GRID,36,32,0.8888888888888888,31,0.8611111111111112,19,20,16
END_Q,REC_FULL,10.0,ALL,45,41,0.9111111111111111,40,0.8888888888888888,28,29,25
END_Q,REC_FULL,25.0,SHELF,9,7,0.7777777777777778,7,0.7777777777777778,9,9,7
END_Q,REC_FULL,25.0,GRID,36,31,0.8611111111111112,26,0.7222222222222222,14,14,9
END_Q,REC_FULL,25.0,ALL,45,38,0.8444444444444444,33,0.7333333333333333,23,23,16
END_Q,WIN,0.0,SHELF,9,9,1.0,9,1.0,9,9,9
END_Q,WIN,0.0,GRID,36,34,0.9444444444444444,34,0.9444444444444444,21,21,19
END_Q,WIN,0.0,ALL,45,43,0.9555555555555556,43,0.9555555555555556,30,30,28
END_Q,WIN,10.0,SHELF,9,9,1.0,9,1.0,9,9,9
END_Q,WIN,10.0,GRID,36,34,0.9444444444444444,34,0.9444444444444444,19,19,17
END_Q,WIN,10.0,ALL,45,43,0.9555555555555556,43,0.9555555555555556,28,28,26
END_Q,WIN,25.0,SHELF,9,8,0.8888888888888888,8,0.8888888888888888,9,9,8
END_Q,WIN,25.0,GRID,36,32,0.8888888888888888,28,0.7777777777777778,14,14,10
END_Q,WIN,25.0,ALL,45,40,0.8888888888888888,36,0.8,23,23,18
END_Y,REC_FULL,0.0,SHELF,9,9,1.0,9,1.0,9,9,9
END_Y,REC_FULL,0.0,GRID,36,34,0.9444444444444444,34,0.9444444444444444,21,21,19
END_Y,REC_FULL,0.0,ALL,45,43,0.9555555555555556,43,0.9555555555555556,30,30,28
END_Y,REC_FULL,10.0,SHELF,9,9,1.0,9,1.0,9,9,9
END_Y,REC_FULL,10.0,GRID,36,34,0.9444444444444444,34,0.9444444444444444,19,19,17
END_Y,REC_FULL,10.0,ALL,45,43,0.9555555555555556,43,0.9555555555555556,28,28,26
END_Y,REC_FULL,25.0,SHELF,9,7,0.7777777777777778,7,0.7777777777777778,9,9,7
END_Y,REC_FULL,25.0,GRID,36,31,0.8611111111111112,26,0.7222222222222222,14,14,9
END_Y,REC_FULL,25.0,ALL,45,38,0.8444444444444444,33,0.7333333333333333,23,23,16
END_Y,WIN,0.0,SHELF,9,9,1.0,9,1.0,9,9,9
END_Y,WIN,0.0,GRID,36,34,0.9444444444444444,34,0.9444444444444444,21,21,19
END_Y,WIN,0.0,ALL,45,43,0.9555555555555556,43,0.9555555555555556,30,30,28
END_Y,WIN,10.0,SHELF,9,9,1.0,9,1.0,9,9,9
END_Y,WIN,10.0,GRID,36,34,0.9444444444444444,34,0.9444444444444444,19,19,17
END_Y,WIN,10.0,ALL,45,43,0.9555555555555556,43,0.9555555555555556,28,28,26
END_Y,WIN,25.0,SHELF,9,8,0.8888888888888888,8,0.8888888888888888,9,9,8
END_Y,WIN,25.0,GRID,36,32,0.8888888888888888,28,0.7777777777777778,14,14,10
END_Y,WIN,25.0,ALL,45,40,0.8888888888888888,36,0.8,23,23,18
