gate,what,value,pass_
G1,fast runner == engine.backtest,1.3877787807814457e-17,True
G2,committed U56 W/H126/N=20 triple,3.1831294189377246e-07,True
G3,SPY OOS triple,0.00017024209187355144,True
G4,committed 1098 U56 n=12 triple,4.9747072470490705e-05,True
G5,live RULES v2 MaxDD,4.949323437114517e-05,True
G6,determinism,0.0,True
G7,cadence_mask == engine.rebalance_mask,0.0,True
G9,post-hoc cost == engine cost_bps=25 at g=0.45,6.938893903907228e-18,True
G10,fine ladder nests committed 0.30..0.75 step .05,0.0,True
G8,"committed GROSS-ladder grid, 20 rows x 6 stats + 5 legs",2.220446049250313e-16,True
