level,blocks,rows,blocks_gained,rows_gained,uniquely,blocks_nondegen,rows_nondegen
L0,0,0,0,0,0,0,0
L1,136,57015,136,57015,80,126,49104
L2,136,57015,0,0,76,126,49104
L3,138,57186,2,171,73,127,49167
L4,138,57186,0,0,73,127,49167
