panel,family,carried_n,cost,narrow_pick,n_pass4a,n_pass4b,n_fail4b,wide_pick,w_pass4a,w_pass4b,w_fail4b,w_OOS_Sharpe,w_OOS_CAGR,w_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
broad136,gross,5.0,10,1.0,False,False,H1|H2|OOS|DD|CAGR,1.0,False,False,H1|H2|OOS|DD|CAGR,0.5720626007388583,0.07637365751663316,-0.2749823403002972,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,gross,5.0,25,1.0,False,False,H1|H2|OOS|DD|CAGR,1.0,False,False,H1|H2|OOS|DD|CAGR,0.15044759177504186,0.011332109151025227,-0.34220778237064486,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,gross,20.0,10,1.0,False,False,H2|OOS|DD,1.0,False,False,H2|OOS|DD,0.7347092285463674,0.10058741128543613,-0.2361269213116024,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,gross,20.0,25,1.0,True,False,H1|H2|OOS|DD|CAGR,1.0,True,False,H1|H2|OOS|DD|CAGR,0.47556451488147083,0.06013005818491224,-0.24203969849447493,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,max_vol,5.0,10,0.4,False,False,H1|H2|OOS|DD|CAGR,0.4,False,False,H1|H2|OOS|DD|CAGR,0.5681411576408546,0.05849075401459558,-0.2119126361153263,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,max_vol,5.0,25,0.4,False,False,H1|H2|OOS|DD|CAGR,0.4,False,False,H1|H2|OOS|DD|CAGR,0.1467332320758567,0.010170946972931194,-0.2672108494702865,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,max_vol,20.0,10,0.6,True,False,H2|OOS|CAGR,0.2,False,False,H2|OOS|CAGR,0.6284232725826555,0.050983515700890214,-0.17419527674131996,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,max_vol,20.0,25,0.6,True,False,H1|H2|OOS|CAGR,0.6,True,False,H1|H2|OOS|CAGR,0.4756961701035898,0.046788649325204545,-0.18559063162929978,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,n,,10,20.0,True,False,H2|OOS|CAGR,28.0,True,False,H2|OOS|CAGR,0.791237438205254,0.08347984804719921,-0.1868740991471458,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad136,n,,25,20.0,True,False,H1|H2|OOS|CAGR,136.0,True,False,H2|CAGR,0.8958630391723804,0.09186507164492186,-0.1821704348434574,0.8820239235972316,0.1545044425578177,-0.3371595330739301
small484,gross,5.0,10,1.0,False,False,H1|H2|OOS|DD,1.0,False,False,H1|H2|OOS|DD,0.5474997590262122,0.20666361452934212,-0.5422218939347063,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small484,gross,5.0,25,1.0,False,False,H1|H2|OOS|DD|CAGR,1.0,False,False,H1|H2|OOS|DD|CAGR,0.4135197897537597,0.13068891813262207,-0.6271254413561558,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small484,gross,20.0,10,0.5,False,False,H1|H2|OOS|DD|CAGR,0.35,False,False,H1|H2|OOS|CAGR,0.44439887276117906,0.03292449517920204,-0.17731671010572114,0.8820107671822842,0.15450717694493266,-0.33717235283398284
