corpus,panel,cost,arm,share,n,g,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4a,pass4b,failing,g_CF_IS_capped,CF_IS_rung
C159,small,10.0,NONE,0.03,4,0.75,0.044485020576544576,0.29606740416095917,-0.3951682639499178,0.28468027314915884,0.3072911006279565,-0.05161706191608612,-0.040989298897899484,-0.3553287074365512,0.1010372470656864,0.4794985680706325,-0.3951682639499182,False,False,H1|H2|OOS|DD|CAGR,0.75,
C159,small,10.0,NONE,0.05,7,0.75,0.07018133656562142,0.4198277878535695,-0.3584770057138036,0.5577510779392179,0.30632558218393263,0.2582858852204223,0.03196062148747236,-0.26428209403449643,0.09449020498480021,0.507147373013729,-0.35847700571380414,False,False,H1|H2|OOS|DD|CAGR,0.75,
C159,small,10.0,NONE,0.075,11,0.75,0.08897042927196042,0.5382421521981668,-0.31893679539385644,0.6322083637043167,0.4632267745764999,0.47815125066511105,0.07149431315606614,-0.2133291413817231,0.0999057406288304,0.572336851090064,-0.31893679539385633,False,False,H1|H2|OOS|DD|CAGR,0.95,0.95
C159,small,10.0,NONE,0.1,14,0.75,0.08165873301498117,0.5220051862073203,-0.3190628799443509,0.6837255679848003,0.3925091023202495,0.5188545688811034,0.07547832772250529,-0.20323164623238654,0.08549347127500684,0.5252286111997254,-0.31906287994435123,False,False,H1|H2|OOS|DD|CAGR,0.9,0.9
C159,small,10.0,NONE,0.15,21,0.75,0.06530750520511197,0.4593686770172903,-0.324376056958956,0.592075843496627,0.3545731662657115,0.39547925470683953,0.05042841750541727,-0.2073449084320813,0.07460189798330563,0.4952424068248316,-0.3243760569589571,False,False,H1|H2|OOS|DD|CAGR,0.75,
C159,small,10.0,NONE,0.2,28,0.75,0.05726534436891528,0.4260194312209953,-0.34499103857871893,0.4967879057104502,0.37311152798437824,0.38174193503911047,0.046359170060828125,-0.21438114925776686,0.06405769017383922,0.45117065555381797,-0.3449910385787188,False,False,H1|H2|OOS|DD|CAGR,0.75,
C159,small,10.0,NONE,0.27,38,0.75,0.05528965052731638,0.42813640816932647,-0.32346276970462995,0.44857581555681786,0.41569135827239195,0.35523923226007237,0.040908336996315464,-0.22251138178042562,0.06427060716819133,0.4688726129839194,-0.3234627697046297,False,False,H1|H2|OOS|DD|CAGR,0.75,
C159,small,10.0,NONE,0.35,49,0.75,0.054043961570567456,0.43029685992479216,-0.3370921173240864,0.4427217840217251,0.4246456619083686,0.36384714106342064,0.04105895345798305,-0.20305150953819928,0.06214425886768926,0.46758361183365427,-0.3370921173240877,False,False,H1|H2|OOS|DD|CAGR,0.75,
C159,small,10.0,NONE,0.45,64,0.75,0.050527424636629625,0.41497518383423654,-0.35477556808400246,0.45723846754297026,0.38549893729471313,0.37377851961213643,0.04152065614119649,-0.20452618999728023,0.05612885631099429,0.43848299511180366,-0.35477556808400346,False,False,H1|H2|OOS|DD|CAGR,0.75,
C159,small,10.0,NONE,0.53,75,0.75,0.05169131252653991,0.4272552879200878,-0.36189805470883063,0.46925653659439404,0.3984805510868172,0.39600456788141714,0.04393928762923416,-0.19957881046847004,0.05650768001777817,0.4453994318325334,-0.3618980547088304,False,False,H1|H2|OOS|DD|CAGR,0.75,
