knob,setting,rate
L,1,0.1527777777777778
L,2,0.16666666666666666
L,5,0.16666666666666666
L,10,0.18055555555555555
L,21,0.19444444444444445
L,42,0.2222222222222222
L,63,0.2222222222222222
L,126,0.2361111111111111
L,252,0.2777777777777778
L,504,0.3194444444444444
L,1008,0.4722222222222222
q,0.60,0.4583333333333333
q,0.70,0.375
q,0.80,0.2638888888888889
q,0.90,0.2222222222222222
q,0.95,0.19444444444444445
q,0.99,0.1527777777777778
SEED,0,0.2361111111111111
SEED,1,0.20833333333333334
SEED,2,0.2222222222222222
SEED,3,0.2361111111111111
SEED,4,0.2222222222222222
SEED,5,0.2222222222222222
SEED,6,0.2361111111111111
SEED,7,0.2361111111111111
B,125,0.2222222222222222
B,250,0.2361111111111111
B,500,0.2361111111111111
B,1000,0.2222222222222222
B,2000,0.2222222222222222
B,4000,0.2222222222222222
