kind,family,rho,IS_median,OOS_median
UG_REAL,BREADTH-HI,-0.09591672695120972,0.0032517386047474783,0.004565007292208156
UG_REAL,BREADTH-LO,0.04068804758459931,0.005703682970513602,0.0018125470284570955
UG_REAL,CORR-HI,-0.02111566594325215,0.002631704806515117,0.0002644504353371824
UG_REAL,CORR-LO,0.14771722530343223,0.0028225378907913157,-0.001689747573685757
UG_REAL,DISP-HI,-0.04892291616429547,-0.0014388279925079683,0.0011064164446770997
UG_REAL,DISP-LO,0.3336548508962302,0.008828952026064318,0.0037972366028229884
UG_REAL,VOL20-HI,-0.04586046137770276,0.0015704632037324417,0.0019313698952383995
UG_REAL,VOL20-LO,0.17452375210995902,0.005814730717206729,0.0023164625877263034
CGPRE_REAL,BREADTH-HI,0.0145808214773732,0.002849783578850809,0.0017578717256533094
CGPRE_REAL,BREADTH-LO,0.16419500040189697,0.004599051340370086,0.0018105815397621294
CGPRE_REAL,CORR-HI,0.03562816493850977,0.004426587317085784,-0.0005179498272863403
CGPRE_REAL,CORR-LO,0.04414034241620448,0.005284515856851718,-0.0005968926574539818
CGPRE_REAL,DISP-HI,-0.039916405433646815,-0.00010703281283364063,0.001430684842240515
CGPRE_REAL,DISP-LO,0.22763443453098628,0.0067779226974861995,0.0036051176602900775
CGPRE_REAL,VOL20-HI,0.0992203199099751,0.0018217793833274765,0.0025175017423838403
CGPRE_REAL,VOL20-LO,0.2333132384856523,0.005360551138774622,0.0033819326091269197
CGADJ_REAL,BREADTH-HI,-0.09369021782814886,0.0015035818909055754,0.003517104071216498
CGADJ_REAL,BREADTH-LO,-0.015276103207137692,0.004450399142906791,0.0007959756957347519
CGADJ_REAL,CORR-HI,-0.11966481794068003,0.0035706618768399367,-0.001745161749505647
CGADJ_REAL,CORR-LO,0.12859094928060447,0.005300377995082706,-0.0003649167109474327
CGADJ_REAL,DISP-HI,-0.10034563138011415,-0.001256782055305966,0.00020373096428423498
CGADJ_REAL,DISP-LO,0.10808616670685638,0.00632024710612808,0.00168581556999374
CGADJ_REAL,VOL20-HI,-0.17675829917209226,0.0021627994656732707,0.001294904499446109
CGADJ_REAL,VOL20-LO,0.04493207941483804,0.004510145042702779,0.0024023802544193007
SM_DOM,BREADTH-HI,0.4475122578570854,-0.012145819404230485,-0.014979643968160802
SM_DOM,BREADTH-LO,0.44147576561369667,-0.010238269789923954,-0.016551804036829848
SM_DOM,CORR-HI,0.4327626396591914,-0.011843599843979202,-0.016402991672713585
SM_DOM,CORR-LO,0.38086970500763606,-0.008429884824039863,-0.015764051672589235
SM_DOM,DISP-HI,0.5231974921630094,-0.016098500121260267,-0.01615643284910777
SM_DOM,DISP-LO,0.4863837312113174,-0.007840667782508914,-0.018451666151953955
SM_DOM,VOL20-HI,0.6023752109959007,-0.01801268165863698,-0.01620655445215162
SM_DOM,VOL20-LO,0.5028816011574633,-0.007964582453344055,-0.017540028959096052
OP_DOM,BREADTH-HI,0.15541757093481232,-0.013762413389291822,-0.006824255741013863
OP_DOM,BREADTH-LO,0.39772928221204085,-0.015084160268781205,-0.01085783180483238
OP_DOM,CORR-HI,0.42235350856040516,-0.014416136868015017,-0.011926276312883288
OP_DOM,CORR-LO,0.30819467888433405,-0.012502862438011353,-0.009575985796024256
OP_DOM,DISP-HI,0.2383168555582349,-0.019335257352104562,-0.010361888605371863
OP_DOM,DISP-LO,0.20863676553331728,-0.012287925633148122,-0.011102028112595697
OP_DOM,VOL20-HI,0.3648340165581545,-0.019386536720815195,-0.010462535331740602
OP_DOM,VOL20-LO,0.220026525198939,-0.014655550696782371,-0.00879489344849202
CGPRE_DOM,BREADTH-HI,0.1878787878787879,-0.012655078890269122,-0.013419841668336041
