panel,cost,kind,rule,cell,band,gross,oos_CAGR,oos_Sharpe,oos_MaxDD,oos_rank,keep4b_full,keep4b_oos,keep4a_full,keep4a_oos
U56,50,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.11306489215664883,1.1013809884946906,-0.19103436777251492,19,True,True,False,False
U56,50,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.11306489215664883,1.1013809884946906,-0.19103436777251492,19,True,True,False,False
U56,50,FITTED,IS_DD,b0.02_g0.50,0.02,0.5,0.05585497411861695,1.157741197645428,-0.08076282487597553,10,False,False,False,False
U56,50,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.051020811402772814,1.0763705910486334,-0.08220366364518561,25,False,False,False,False
U56,50,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.10231037008833344,1.076698064287176,-0.16070748520505618,23,False,False,False,False
U56,50,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.11242280343562916,1.1580378373619258,-0.15821351740650869,8,False,True,False,False
U56,50,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.11606960208680461,1.1782213798635122,-0.16038908808615815,3,False,True,False,False
U56,50,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.11284730090102202,1.1302734544309854,-0.1667740122808946,13,False,True,False,False
U56,50,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.11306489215664883,1.1013809884946906,-0.19103436777251492,19,True,True,False,False
U56,50,ZEROPARAM,EWALL,EWALL,,1.0,0.17743713751961065,1.098038871864279,-0.2924302923565798,-1,False,False,False,False
U56,50,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.08221177693595116,1.1289182674412015,-0.12511357335528353,13,False,False,False,False
B136,0,FITTED,IS_SHARPE,b0.08_g1.00,0.08,1.0,0.11171801542586124,1.1094569299478036,-0.1947971965028923,20,True,True,False,False
B136,0,FITTED,IS_MINMARG,b0.08_g1.00,0.08,1.0,0.11171801542586124,1.1094569299478036,-0.1947971965028923,20,True,True,False,False
B136,0,FITTED,IS_CALMAR,b0.03_g1.00,0.03,1.0,0.10781635410691504,1.1301111094183593,-0.16120589976447586,15,True,True,False,False
B136,0,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.11171801542586124,1.1094569299478036,-0.1947971965028923,20,True,True,False,False
B136,0,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.11171801542586124,1.1094569299478036,-0.1947971965028923,20,True,True,False,False
B136,0,FITTED,IS_DD,b0.03_g0.50,0.03,0.5,0.05372764835624988,1.1325732772973518,-0.08221546096968513,11,False,False,False,True
B136,0,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.05396136193458001,1.1605267826669798,-0.08472070203166704,1,False,False,False,True
B136,0,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.10838706093812855,1.1577422900579812,-0.16565300177523745,7,True,True,False,False
B136,0,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.10960039639314334,1.156223880779989,-0.16132517168941596,10,True,True,False,False
B136,0,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.10781635410691504,1.1301111094183593,-0.16120589976447586,15,True,True,False,False
B136,0,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.10670684413341447,1.0992280233968383,-0.1729502997141622,25,True,False,False,False
B136,0,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.11171801542586124,1.1094569299478036,-0.1947971965028923,20,True,True,False,False
B136,0,ZEROPARAM,EWALL,EWALL,,1.0,0.1840993090926204,1.0925688345982445,-0.3270639215932927,-1,False,False,False,False
B136,0,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.08043026927319427,1.1319623751427403,-0.12791562296138065,13,False,False,False,False
B136,10,FITTED,IS_SHARPE,b0.08_g1.00,0.08,1.0,0.1097976270130907,1.0920752045528088,-0.19499212250678077,20,True,True,False,False
B136,10,FITTED,IS_MINMARG,b0.08_g1.00,0.08,1.0,0.1097976270130907,1.0920752045528088,-0.19499212250678077,20,True,True,False,False
B136,10,FITTED,IS_CALMAR,b0.03_g1.00,0.03,1.0,0.10473004292318344,1.1006130604666327,-0.16158091944280473,15,True,False,False,False
B136,10,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.1097976270130907,1.0920752045528088,-0.19499212250678077,20,True,True,False,False
B136,10,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.1097976270130907,1.0920752045528088,-0.19499212250678077,20,True,True,False,False
B136,10,FITTED,IS_DD,b0.03_g0.50,0.03,0.5,0.05223856475356703,1.1026154838915398,-0.08242143912987199,11,False,False,False,True
B136,10,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.051541279938585705,1.1107936700095014,-0.08507105860159869,6,False,False,False,True
B136,10,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.10333726431921875,1.108442001481368,-0.16630880562889716,10,False,False,False,False
B136,10,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.10594775603192264,1.1210690026396035,-0.1617961575244825,5,True,False,False,False
B136,10,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.10473004292318344,1.1006130604666327,-0.16158091944280473,15,True,False,False,False
B136,10,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.10424320321478908,1.0761161598023437,-0.17325019052764723,25,True,False,False,False
B136,10,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.1097976270130907,1.0920752045528088,-0.19499212250678077,20,True,True,False,False
B136,10,ZEROPARAM,EWALL,EWALL,,1.0,0.18268755492248268,1.0854301380904505,-0.3272153855796246,-1,False,False,False,False
B136,10,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.07807596539130872,1.1008567708539763,-0.12822361992885864,13,False,False,False,False
B136,25,FITTED,IS_SHARPE,b0.08_g1.00,0.08,1.0,0.10692303480271548,1.065988937916227,-0.19528446290347024,10,True,True,False,False
B136,25,FITTED,IS_MINMARG,b0.08_g1.00,0.08,1.0,0.10692303480271548,1.065988937916227,-0.19528446290347024,10,True,True,False,False
B136,25,FITTED,IS_CALMAR,b0.08_g1.00,0.08,1.0,0.10692303480271548,1.065988937916227,-0.19528446290347024,10,True,True,False,False
B136,25,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.10692303480271548,1.065988937916227,-0.19528446290347024,10,True,True,False,False
B136,25,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.10692303480271548,1.065988937916227,-0.19528446290347024,10,True,True,False,False
B136,25,FITTED,IS_DD,b0.03_g0.50,0.03,0.5,0.05000877395192482,1.0576349141686765,-0.08273037324142196,11,False,False,False,True
B136,25,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.04792131480540718,1.0360900214466,-0.08559647931728787,21,False,False,False,False
B136,25,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.09580460510516198,1.0343886824124175,-0.16729207645763688,25,False,False,False,False
B136,25,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.10049073267483677,1.068278408859432,-0.16250243298777245,5,False,False,False,False
B136,25,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.10011623648394741,1.056323334346681,-0.16214332877286775,15,False,False,False,False
B136,25,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.100557696038998,1.0414204038516195,-0.17369993855771915,20,False,False,False,False
B136,25,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.10692303480271548,1.065988937916227,-0.19528446290347024,10,True,True,False,False
B136,25,ZEROPARAM,EWALL,EWALL,,1.0,0.1805730118988893,1.074720844465074,-0.3274425325447611,-1,False,False,False,False
B136,25,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.0745554621291347,1.0541487534097476,-0.1286855088118867,13,False,False,False,False
B136,50,FITTED,IS_SHARPE,b0.08_g1.00,0.08,1.0,0.10214797934681275,1.0224796032218144,-0.19577156728140044,5,True,False,False,False
B136,50,FITTED,IS_MINMARG,b0.08_g1.00,0.08,1.0,0.10214797934681275,1.0224796032218144,-0.19577156728140044,5,True,False,False,False
B136,50,FITTED,IS_CALMAR,b0.08_g1.00,0.08,1.0,0.10214797934681275,1.0224796032218144,-0.19577156728140044,5,True,False,False,False
B136,50,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.10214797934681275,1.0224796032218144,-0.19577156728140044,5,True,False,False,False
B136,50,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.10214797934681275,1.0224796032218144,-0.19577156728140044,5,True,False,False,False
B136,50,FITTED,IS_DD,b0.03_g0.50,0.03,0.5,0.046302658806729236,0.9825664726443277,-0.08324517508690821,14,False,False,False,False
B136,50,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.04191502872507247,0.911371047516591,-0.08647187615423102,22,False,False,False,False
B136,50,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.08336146057493377,0.9107553623301358,-0.16892970141862151,25,False,False,False,False
B136,50,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.09145388911713792,0.9801633168689855,-0.16367901669184126,20,False,False,False,False
B136,50,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.092468137029039,0.9824090445101564,-0.16308035717709757,15,False,False,False,False
B136,50,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.09444163625404034,0.9835281573311382,-0.17444928345390953,10,False,False,False,False
B136,50,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.10214797934681275,1.0224796032218144,-0.19577156728140044,5,True,False,False,False
B136,50,ZEROPARAM,EWALL,EWALL,,1.0,0.17705699314850953,1.0568688486942772,-0.3278209801418428,-1,False,False,False,False
B136,50,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.0687170284722634,0.9761932893951517,-0.1294550394547343,13,False,False,False,False
SMALL,0,FITTED,IS_SHARPE,b0.08_g1.00,0.08,1.0,0.05534109595067149,0.6110594331458215,-0.18820940450069157,5,False,False,False,False
SMALL,0,FITTED,IS_MINMARG,b0.08_g1.00,0.08,1.0,0.05534109595067149,0.6110594331458215,-0.18820940450069157,5,False,False,False,False
SMALL,0,FITTED,IS_CALMAR,b0.08_g1.00,0.08,1.0,0.05534109595067149,0.6110594331458215,-0.18820940450069157,5,False,False,False,False
SMALL,0,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.05534109595067149,0.6110594331458215,-0.18820940450069157,5,False,False,False,False
SMALL,0,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.05534109595067149,0.6110594331458215,-0.18820940450069157,5,False,False,False,False
SMALL,0,FITTED,IS_DD,b0.08_g0.50,0.08,0.5,0.028505343934472016,0.6119804956954037,-0.09748495587226103,1,False,False,True,True
SMALL,0,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.025906035650998138,0.5752260972878108,-0.08994598594795722,21,False,False,False,False
SMALL,0,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.05017045189873892,0.5744886600607094,-0.17383330063350344,25,False,False,False,False
SMALL,0,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.050830721187380856,0.5795441026693502,-0.17983790503300956,20,False,False,False,False
SMALL,0,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.05131350666342338,0.5833643937784241,-0.18085077653406134,15,False,False,False,False
SMALL,0,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.054274193838932394,0.6082677988795561,-0.18303142736181033,10,False,False,False,False
SMALL,0,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.05534109595067149,0.6110594331458215,-0.18820940450069157,5,False,False,False,False
SMALL,0,ZEROPARAM,EWALL,EWALL,,1.0,0.11716349258472802,0.6039306663860444,-0.44355573819799865,-1,False,False,False,False
SMALL,0,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.039299807596309674,0.5917593894363542,-0.1361458621835004,13,False,False,False,False
SMALL,10,FITTED,IS_SHARPE,b0.08_g1.00,0.08,1.0,0.05282154755009438,0.5860568042874938,-0.19094476396868398,5,False,False,False,False
SMALL,10,FITTED,IS_MINMARG,b0.08_g1.00,0.08,1.0,0.05282154755009438,0.5860568042874938,-0.19094476396868398,5,False,False,False,False
SMALL,10,FITTED,IS_CALMAR,b0.08_g1.00,0.08,1.0,0.05282154755009438,0.5860568042874938,-0.19094476396868398,5,False,False,False,False
SMALL,10,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.05282154755009438,0.5860568042874938,-0.19094476396868398,5,False,False,False,False
SMALL,10,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.05282154755009438,0.5860568042874938,-0.19094476396868398,5,False,False,False,False
SMALL,10,FITTED,IS_DD,b0.08_g0.50,0.08,0.5,0.027260231463182016,0.5866308040664072,-0.0990155212197632,1,False,False,True,True
SMALL,10,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.0233941695202613,0.5222947075340223,-0.09358477993644831,21,False,False,False,False
SMALL,10,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.04505782469013697,0.5218142314499178,-0.18031200953589122,25,False,False,False,False
SMALL,10,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.04665261271732124,0.5367153112102506,-0.1848772180866648,20,False,False,False,False
SMALL,10,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.04760986961885294,0.5455210917899089,-0.18524928037315203,15,False,False,False,False
SMALL,10,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.05121509455407458,0.577424001872386,-0.1864986827780557,10,False,False,False,False
SMALL,10,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.05282154755009438,0.5860568042874938,-0.19094476396868398,5,False,False,False,False
SMALL,10,ZEROPARAM,EWALL,EWALL,,1.0,0.11476691032996733,0.5944192948028434,-0.4438143184151718,-1,False,False,False,False
SMALL,10,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.03657005889192331,0.5537772588869764,-0.13958070154495444,13,False,False,False,False
SMALL,25,FITTED,IS_SHARPE,b0.08_g1.00,0.08,1.0,0.04905323085168822,0.5485411182949109,-0.19503082945790895,5,False,False,False,False
SMALL,25,FITTED,IS_MINMARG,b0.08_g1.00,0.08,1.0,0.04905323085168822,0.5485411182949109,-0.19503082945790895,5,False,False,False,False
SMALL,25,FITTED,IS_CALMAR,b0.08_g1.00,0.08,1.0,0.04905323085168822,0.5485411182949109,-0.19503082945790895,5,False,False,False,False
SMALL,25,FITTED,IS_CAGRSLACK,b0.08_g1.00,0.08,1.0,0.04905323085168822,0.5485411182949109,-0.19503082945790895,5,False,False,False,False
SMALL,25,FITTED,IS_LEGS,b0.08_g1.00,0.08,1.0,0.04905323085168822,0.5485411182949109,-0.19503082945790895,5,False,False,False,False
SMALL,25,FITTED,IS_DD,b0.08_g0.50,0.08,0.5,0.025395321203782073,0.548593641750174,-0.10130658786272206,4,False,False,True,True
SMALL,25,FITTED,CELL_ALPHA,b0.00_g0.50,0.0,0.5,0.019637652724820764,0.4428630097961982,-0.0990597774291857,23,False,False,False,False
SMALL,25,ZEROPARAM,MAXGROSS_b0.00,b0.00_g1.00,0.0,1.0,0.03743452973709194,0.44276946981444587,-0.19019014697513337,25,False,False,False,False
SMALL,25,ZEROPARAM,MAXGROSS_b0.02,b0.02_g1.00,0.02,1.0,0.04041590354804603,0.4724405029329234,-0.19237906715892206,20,False,False,False,False
SMALL,25,ZEROPARAM,MAXGROSS_b0.03,b0.03_g1.00,0.03,1.0,0.042078322787368894,0.48872712620248737,-0.19180348323224905,14,False,False,False,False
SMALL,25,ZEROPARAM,MAXGROSS_b0.05,b0.05_g1.00,0.05,1.0,0.046642696635016634,0.5311368310339394,-0.1916724714966589,10,False,False,False,False
SMALL,25,ZEROPARAM,MAXGROSS_b0.08,b0.08_g1.00,0.08,1.0,0.04905323085168822,0.5485411182949109,-0.19503082945790895,5,False,False,False,False
SMALL,25,ZEROPARAM,EWALL,EWALL,,1.0,0.11118147397572975,0.5801512506392749,-0.4459610849651596,-1,False,False,False,False
SMALL,25,ZEROPARAM,RANDCELL,MEAN-OF-25,,,0.03249012535779903,0.49677809623978986,-0.14473123375531993,13,False,False,False,False
