ceil,target_gross,pass4b,pass4a,pass_both,floor_unique_KILL,cap_unique_KILL,mean_n_m,reach_ceiling
0.75,0.5625,16,184,16,93,0,1.1875,16
0.8,0.6,24,184,24,85,8,1.625,20
0.85,0.6375,40,184,40,69,11,1.8,33
0.9,0.675,46,184,46,63,15,2.130434782608696,26
0.95,0.7125,55,184,55,54,16,2.327272727272727,30
1.0,0.75,58,184,58,51,18,2.706896551724138,29
1.05,0.7875,62,184,62,47,19,2.903225806451613,23
1.1,0.825,62,184,62,47,19,3.129032258064516,14
1.15,0.8625,65,184,65,44,19,3.2,14
1.2,0.9,66,184,66,43,21,3.3181818181818183,11
1.25,0.9375,69,184,69,40,21,3.2753623188405796,7
1.3,0.975,72,184,72,37,22,3.263888888888889,9
1.3333,1.0,73,184,73,36,23,3.3013698630136985,6
