panel,source,kind,etf_share,seed,arm,n,r_target,bps,n_elig,r_real,k,CAGR,Vol,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turn,gross,sat_share,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,p4a,p4a_v1,f4b,p4b
U56,U56,NAMED,,-1,EWall,,,10,41.0,,56,0.1040491811310249,0.0990648706361151,1.0490288480160836,-0.15874704847794507,1.06846717048947,1.0344959688835331,0.09295248819931046,0.9696219470490614,0.11329149227062874,1.111874408264675,-0.1587470484779454,8.208759352934159,0.7500000000000001,,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,CAGR,False
U56,U56,NAMED,,-1,EWall,,,0,41.0,,56,0.11314831389325475,0.09904343933520983,1.1321362346444486,-0.15769540293383966,1.1502926877747832,1.1189906484817445,0.10174928028647812,1.0530336720591569,0.12264409917161023,1.194763825348269,-0.15769540293383966,8.208759352934159,0.7500000000000001,,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,-,True
U56,U56,NAMED,,-1,v1,,,10,41.0,,56,0.06453053483847215,0.10201267848492176,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.04925613582932131,0.5534299312214817,0.07730300522922962,0.747063834691694,-0.13827796154480798,23.58532168462946,0.7495269204775851,,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,"H1,H2,OOS,CAGR",False
U56,U56,NAMED,,-1,v1,,,0,41.0,,56,0.0899230928204462,0.10206878834166895,0.8948880940589614,-0.13594394240496122,0.8773917061188327,0.9148968978097718,0.07260657232215895,0.7847264314088308,0.10442384778230118,0.9780477105237235,-0.135943942404961,23.58532168462946,0.7495269204775851,,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,"H1,CAGR",False
U56,U56,NAMED,,-1,v2,,,10,41.0,,56,0.08660009294734339,0.0709938561492702,1.2056219490390438,-0.12054942313126804,1.225930875264405,1.1908384783945227,0.07609422682833555,1.1042593710951487,0.09534722887472857,1.285072363206482,-0.12054942313126815,1.7745075061261604,0.5325972248167915,,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,True,CAGR,False
U56,U56,NAMED,,-1,v2,,,0,41.0,,56,0.08852950361247114,0.07099217817752237,1.2306462622986376,-0.12029812615148339,1.2511233124662855,1.2157854547481275,0.07798689870063158,1.129947080577894,0.097307362439361,1.3095985770043688,-0.12029812615148383,1.7745075061261604,0.5325972248167915,,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,True,CAGR,False
U56,U56,NAMED,,-1,FWD,2.0,0.05,10,41.0,0.04878048780487805,56,0.19551093112402285,0.24541822668974284,0.8503068449969838,-0.2597998250093234,0.8378368347422906,0.8631480158424841,0.19644302833930105,0.8826595758148738,0.19474226788534743,0.8268268345476769,-0.25979982500932397,24.807028341578285,0.75,0.0,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,"H1,OOS,DD",False
U56,U56,NAMED,,-1,FWD,2.0,0.05,0,41.0,0.04878048780487805,56,0.22549134409295113,0.24551435280045558,0.9510149761902427,-0.2524765323863013,0.9356172232685045,0.9667092805108405,0.22448050934022268,0.98157259031087,0.22632616058627275,0.92905618549519,-0.25247653238630186,24.807028341578285,0.75,0.0,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,"H1,DD",False
U56,U56,NAMED,,-1,FWD,4.0,0.1,10,41.0,0.0975609756097561,56,0.19494975553492955,0.19428686131389622,1.0141260874026305,-0.242992366770724,1.0694534346973736,0.9763356720377309,0.1886048895729009,1.0681359539022224,0.20021133575319228,0.981820595790861,-0.24299236677072433,19.83509062089424,0.75,0.002171552660152009,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,DD,False
U56,U56,NAMED,,-1,FWD,4.0,0.1,0,41.0,0.0975609756097561,56,0.21886773236257318,0.1943047736438285,1.116114962344783,-0.2377444510241048,1.17657345589113,1.0748562747747987,0.2116203891361954,1.1767701628104215,0.22488121590741073,1.079694806938792,-0.23774445102410457,19.83509062089424,0.75,0.002171552660152009,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,DD,False
U56,U56,NAMED,,-1,FWD,8.0,0.2,10,41.0,0.1951219512195122,56,0.1392415116911454,0.15363431914315215,0.9256897784292935,-0.18305019876334183,0.8983024521326779,0.9546130824606975,0.11816395146119762,0.8579981610908891,0.1569346059174328,0.9779060119132543,-0.17573371678987926,15.762080043526776,0.75,0.02714440825190011,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,H1,False
U56,U56,NAMED,,-1,FWD,8.0,0.2,0,41.0,0.1951219512195122,56,0.15732515876583886,0.15366973012601137,1.0280476106826046,-0.174808029892778,1.0091677327651503,1.0504173892348625,0.1360888985166615,0.9699374113726789,0.17514895309456135,1.073747238603393,-0.17480802989277777,15.762080043526776,0.75,0.02714440825190011,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,-,True
U56,U56,NAMED,,-1,FWD,14.0,0.35,10,41.0,0.34146341463414637,56,0.1334353514942319,0.13117934664085387,1.020794612399066,-0.1903064102519748,1.0304170689089194,1.0197430457295777,0.11527410266166549,0.962032080426817,0.14864538539301697,1.0669656316970761,-0.19030641025197492,12.733337697678643,0.75,0.06623235613463627,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,-,True
