pool,panel,chooser,n_E,n_distinct_picks,pick_at_REC,modal_pick,modal_share,n_4b,n_4a,OOS_Sharpe_min,OOS_Sharpe_max,OOS_Sharpe_at_REC
GRID,U56,IS_SHARPE,16,2,U56-band0.08-g1.00,U56-band0.08-g1.00,0.75,16,0,1.048662030205787,1.315215536757622,1.161541176122481
GRID,U56,IS_LEGS,16,2,U56-band0.08-g1.00,U56-band0.08-g1.00,0.75,16,0,1.048662030205787,1.315215536757622,1.161541176122481
GRID,U56,IS_CAGR,16,4,U56-qroll-q0.17-w1008-d0.50,U56-qroll-q0.17-w1008-d0.50,0.5625,15,0,1.1838624652301535,1.4123127011280012,1.2933308155679046
GRID,B136,IS_SHARPE,16,1,B136-band0.08-g1.00,B136-band0.08-g1.00,1.0,8,0,0.931833383565181,1.127324198797425,1.0974353329692366
GRID,B136,IS_LEGS,16,1,B136-band0.08-g1.00,B136-band0.08-g1.00,1.0,8,0,0.931833383565181,1.127324198797425,1.0974353329692366
GRID,B136,IS_CAGR,16,1,B136-qroll-q0.12-w1008-d0.50,B136-qroll-q0.12-w1008-d0.50,1.0,16,0,1.017794571886414,1.1924997927182324,1.15720547245826
ALL,U56,IS_SHARPE,16,1,u56-quantile50-respread-M,u56-quantile50-respread-M,1.0,16,0,1.1041788193891402,1.2572476491554725,1.2181181059090864
ALL,U56,IS_LEGS,16,2,u56-quantile50-respread-M,u56-quantile50-respread-M,0.9375,16,0,1.1041788193891402,1.2782867968827103,1.2181181059090864
ALL,U56,IS_CAGR,16,1,u56-quantile50-respread-M,u56-quantile50-respread-M,1.0,16,0,1.1041788193891402,1.2572476491554725,1.2181181059090864
ALL,B136,IS_SHARPE,16,2,b136-r620-gross065-W,b136-r620-gross065-W,0.9375,16,0,0.9067200347485825,1.1193943927420753,1.0399755698403153
ALL,B136,IS_LEGS,16,2,b136-r620-gross065-W,b136-r620-gross065-W,0.9375,16,0,0.9067200347485825,1.1193943927420753,1.0399755698403153
ALL,B136,IS_CAGR,16,2,b136-r620-gross065-W,b136-r620-gross065-W,0.8125,16,0,0.9067200347485825,1.176633409837582,1.0399755698403153
