where,chosen_on,D,netted
"WF-A record corpus, tau ladder",n/a (all 30 points published),0.011799724464007592,0.001751742497771068
"WF-C live, tau chosen 2014-2016",raw/q0.9,-0.03225963321164687,-0.00016170342280485278
