panel,key,stamp,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,d_vs_SPY,d_vs_v2,d_vs_ctrl
MAIN,CAP,LATE,2,1.029354656087712,0.06784774271277705,0.4402661432655065,-0.44324046852054166,-0.44174435778500154,-0.12778168393387213,-0.19639629228197686
MAIN,CAP,EARLY,1,1.7484418329182716,0.17252757932267704,1.149573136485376,-0.2557330275294434,0.267562635434868,0.5815253092859974,0.5129107009378927
MAIN,CAP,DYN,1,2.3664908686281,0.5058368331975014,2.3475446724351663,-0.3240209506185401,1.4655341713846584,1.7794968452357875,1.710882236887683
MAIN,ADV,LATE,1,0.8713992027482681,0.08347720222917032,0.5495577257498371,-0.3523207432870943,-0.33245277530067097,-0.01849010144954155,-0.08710470979764628
MAIN,ADV,EARLY,1,1.4377368521787928,0.1986811424532835,1.143122142573321,-0.3120639794560802,0.26111164152281285,0.5750743153739423,0.5064597070258375
MAIN,ADV,DYN,1,1.6948026637046838,0.37420771278975096,2.213063682402129,-0.2454163026009375,1.331053181351621,1.6450158552027503,1.5764012468546458
FULLHIST,CAP,LATE,2,1.0794024238832205,0.05952075514599775,0.4229242853523105,-0.37235350542999424,-0.4590862156981975,-0.1451235418470681,-0.21373815019517284
FULLHIST,CAP,EARLY,1,1.912140547421665,0.17278189342235284,1.1764631500872407,-0.26048897371227986,0.2944526490367326,0.608415322887862,0.5398007145397573
FULLHIST,CAP,DYN,1,2.164498705050355,0.4317604859609028,2.1483847188955543,-0.2764232747245694,1.2663742178450463,1.5803368916961755,1.511722283348071
FULLHIST,ADV,LATE,10,1.0059293325076937,0.12629269760038286,0.7365181194119431,-0.3255269407178165,-0.14549238163856493,0.1684702922125645,0.09985568386445975
FULLHIST,ADV,EARLY,1,1.4353626089665847,0.22239125249320169,1.272112470638767,-0.27791228233609766,0.39010196958825893,0.7040646434393883,0.6354500350912836
FULLHIST,ADV,DYN,1,1.6261130523086733,0.36549693730887745,2.0774055716737436,-0.2643489503276777,1.1953950706232357,1.5093577444743649,1.4407431361262604
