dial,edge_cells,lo,hi,monotone,files,lo_share
m,6866,3467,3399,6125,17,0.505
cost,2529,2486,43,2388,10,0.983
cost_bps,2069,2040,29,2016,9,0.986
g,1870,1058,812,1870,6,0.566
floor_musd,1486,1452,34,1328,2,0.977
fin,1341,1337,4,148,1,0.997
phi,1230,1230,0,0,1,1.0
n,889,344,545,500,8,0.387
bps,285,283,2,276,4,0.993
k,257,97,160,130,5,0.377
band,144,36,108,39,1,0.25
D,143,51,92,38,1,0.357
q,102,102,0,0,1,1.0
gamma,96,96,0,0,1,1.0
f,95,47,48,95,4,0.495
tau,72,72,0,0,1,1.0
sleeve,57,10,47,55,1,0.175
L,36,36,0,0,1,1.0
share,25,14,11,1,4,0.56
ceil,12,12,0,0,1,1.0
off,4,0,4,0,1,0.0
