panel,ladder,move_value,R,R_corr,rho_S,range_S,IS_R,IS_R_corr
U56,N,-0.06704226473878006,0.2541279111699352,0.824771413562628,0.9050625563198741,0.181359875565146,0.1393299543539358,0.4995467316934827
U56,H,-0.04983993259613917,0.09878555648612986,0.4606300903255304,0.9540080003501593,0.039162185337719535,0.020925274149609884,0.10447310897792782
U56,GROSS,0.0007906951821088359,0.0036796443181163576,0.6161851637549952,0.9999643393539268,0.0023591147989923122,0.0015699845675281072,0.38097014098031
U56,CADENCE,0.0,0.23581785971143657,1.2912980367969187,0.9666496492925432,0.11036753620645268,0.07226882760597178,0.3862669857775278
B136,N,-0.2233879243107314,0.16152247531383154,0.6335132729167795,0.9349938439110511,0.12053112976248315,0.16382872555675237,0.6947816979600365
B136,H,-0.01399827178849522,0.05198136889597674,0.18141095101976035,0.9178952233056016,0.02139472754109062,0.11329936107941418,0.514154845968114
B136,GROSS,0.002126775346276144,0.008427895665642586,1.327424420632015,0.9999596894526747,0.005805379541333089,0.004845488636354317,1.1638634399902315
B136,CADENCE,0.1134494775534256,0.3577312076061038,1.3818200567121988,0.9329790355586222,0.18155258057474422,0.17637289663422517,0.7608111524797859
SMALL,N,-0.03697899226347717,0.3442566700125907,1.2044512143181514,0.9183067263971432,0.2552598718614339,0.2682445198155501,0.9466603520695073
SMALL,H,0.008215820042657807,0.15487941971462274,0.4217035358058521,0.8651121163456169,0.0671358490871441,0.25477593875511406,0.8301861076943107
SMALL,GROSS,0.0010761673611143774,0.004316373755629519,0.5567248891511198,0.9999398886043221,0.0031907129995639716,0.0029017849436635814,0.5068135982330809
SMALL,CADENCE,-0.09000811324175101,0.553304574078422,1.498025798026534,0.8635762648846677,0.30839144751817116,0.3992693402361326,1.126185462168081
