panel,ladder,cited_in_pop,recoverable,share
U56,N,102,27,0.2647058823529412
U56,H,94,19,0.20212765957446807
U56,GROSS,176,34,0.19318181818181818
U56,CADENCE,145,17,0.11724137931034483
B136,N,85,21,0.24705882352941178
B136,H,75,16,0.21333333333333335
B136,GROSS,134,28,0.208955223880597
B136,CADENCE,100,14,0.14
SMALL,N,57,10,0.17543859649122806
SMALL,H,44,9,0.20454545454545456
SMALL,GROSS,100,18,0.18
SMALL,CADENCE,73,10,0.136986301369863
