file,stem,frame,group,frame_n,ps_grid,ps_leader,n_pass,med_d_cagr_all,max_d_cagr_all,med_d_cagr_pass,med_d_sharpe_all,med_d_sharpe_pass,med_d_rank_cagr,med_d_rank_sharpe,share_is_best_cagr,share_is_best_sharpe,span_cagr,span_sharpe
2026-09-04_52w-high-proximity_C.grid.csv,2026-09-04_52w-high-proximity_C,F_FILE,ALL,28,True,True,3,5.613488,5.918702,1.635928,0.008487,0.006366,0.259259,0.074074,0.000000,0.000000,15.907626,0.974259
2026-09-04_crypto-sleeve_C.grid.csv,2026-09-04_crypto-sleeve_C,F_FILE,ALL,78,True,True,19,9.208861,11.185978,2.607593,0.098628,0.065396,0.597403,0.350649,0.000000,0.000000,15.474314,0.607066
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,F_FILE,ALL,882,True,True,52,2.045054,3.188856,2.045054,0.042940,0.042940,0.044268,0.023837,0.019231,0.173077,14.276717,1.496224
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,F_GROUP,universe.json(56)|CAND20|D10%/k0.75/high|high,3,True,True,2,0.286262,0.572523,0.286262,0.017347,0.017347,0.250000,0.250000,0.500000,0.500000,2.190467,0.169926
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,F_GROUP,universe.json(56)|CAND20|D10%/k0.75/recover|recover,3,True,True,2,0.199856,0.399712,0.199856,0.014681,0.014681,0.250000,0.250000,0.500000,0.500000,2.145285,0.165084
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,F_GROUP,universe.json(56)|CAND20|D12%/k0.50/high|high,3,True,True,2,0.281063,0.562127,0.281063,0.022459,0.022459,0.250000,0.250000,0.500000,0.500000,3.753990,0.264404
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,F_GROUP,universe.json(56)|CAND20|D12%/k0.50/recover|recover,3,True,True,2,0.262021,0.524043,0.262021,0.021029,0.021029,0.250000,0.250000,0.500000,0.500000,3.568721,0.267065
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,F_GROUP,universe.json(56)|CAND20|D12%/k0.75/high|high,3,True,True,2,0.265029,0.530058,0.265029,0.021027,0.021027,0.250000,0.250000,0.500000,0.500000,3.085977,0.224706
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,F_GROUP,universe.json(56)|CAND20|D12%/k0.75/recover|recover,3,True,True,2,0.268782,0.537564,0.268782,0.020864,0.020864,0.250000,0.250000,0.500000,0.500000,2.646770,0.196913
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,F_GROUP,universe.json(56)|CAND20|D15%/k0.00/high|high,3,True,True,2,0.271815,0.543630,0.271815,0.020846,0.020846,0.250000,0.250000,0.500000,0.500000,7.674663,0.479630
