panel,ladder,axis,k,rung_lo,rung_hi,is_range,is_sd,se_mean,is_argmax,anchor,d2_in_domain,is_sharpes
U56,LAD_N6,N,6,5.0,60.0,0.2418805150320067,0.09180593448122265,0.3078891158583516,5.0,20.0,True,1.2907;1.0946;1.1249;1.0538;1.0489;1.0635
U56,LAD_N14,N,14,3.0,100.0,0.32127125475860363,0.09734155528208381,0.3054023630163786,3.0,20.0,False,1.3701;1.2907;1.0514;1.0946;1.0894;1.1491;1.1249;1.0702;1.0538;1.0489;1.0636;1.0635;1.0631;1.0628
U56,LAD_G8,G,8,0.3,1.0,0.0003564891610219334,0.00012832215082926113,0.30554968087119216,0.7,0.75,True,1.1246;1.1247;1.1248;1.1249;1.1249;1.1249;1.1249;1.1247
U56,LAD_G16,G,16,0.25,1.0,0.00044105240072345175,0.00013411709984607534,0.3043566817947613,0.7,0.75,False,1.1245;1.1246;1.1247;1.1247;1.1248;1.1248;1.1249;1.1249;1.1249;1.1249;1.1249;1.1249;1.1249;1.1249;1.1248;1.1247
B136,LAD_N6,N,6,5.0,60.0,0.15426451881215497,0.05148224970954498,0.2950398652732435,10.0,20.0,True,1.0981;1.1879;1.1073;1.0948;1.0675;1.0337
B136,LAD_N14,N,14,3.0,100.0,0.16682888319083888,0.053052558160494624,0.2930571322663652,8.0,20.0,False,1.1453;1.0981;1.1928;1.1879;1.1565;1.1142;1.1073;1.0782;1.0948;1.0675;1.0496;1.0337;1.0260;1.0716
B136,LAD_G8,G,8,0.3,1.0,0.007748032379029102,0.002601984571125595,0.2791479978279341,1.0,0.75,True,1.1021;1.1034;1.1045;1.1057;1.1068;1.1073;1.1084;1.1099
B136,LAD_G16,G,16,0.25,1.0,0.00836694673292171,0.002661591863973341,0.2785912452090958,1.0,0.75,False,1.1015;1.1021;1.1028;1.1034;1.1040;1.1045;1.1051;1.1057;1.1063;1.1068;1.1073;1.1079;1.1084;1.1089;1.1094;1.1099
SMALL,LAD_N6,N,6,5.0,60.0,0.32803508814469584,0.11035643400726215,0.33777185256188297,20.0,20.0,True,0.4762;0.6738;0.8042;0.6739;0.6107;0.5764
SMALL,LAD_N14,N,14,3.0,100.0,0.6746648501943888,0.16442952229739688,0.33527931247181797,20.0,20.0,False,0.1295;0.4762;0.6734;0.6738;0.7211;0.7660;0.8042;0.6974;0.6739;0.6107;0.5965;0.5764;0.5411;0.5592
SMALL,LAD_G8,G,8,0.3,1.0,0.005061687465307441,0.0016955272567363575,0.3416154029647439,1.0,0.75,True,0.8009;0.8016;0.8024;0.8031;0.8038;0.8042;0.8049;0.8060
SMALL,LAD_G16,G,16,0.25,1.0,0.005439220121539856,0.0017277306857415068,0.33875583882169835,1.0,0.75,False,0.8005;0.8009;0.8013;0.8016;0.8020;0.8024;0.8028;0.8031;0.8035;0.8038;0.8042;0.8046;0.8049;0.8053;0.8056;0.8060
